"","country","district.region.code","district.region.name","ward.code.3A","ward.name.3A","village.3A","market.name.3A","gps.coordinates.of.the.market"
"56",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9348678 35.4383689 980.0633544921875 4.094"
"57",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9347733 35.4382314 985.2376900383412 4.931"
"58",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9347666 35.4383803 972.066162109375 4.898"
"59",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9348434 35.438243 980.2876522173746 4.995"
"60",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9347182 35.4383967 973.7200927734375 4.824"
"61",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9349104 35.4382015 992.2192618101482 4.931"
"62",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9349094 35.438223 984.6516625947944 4.776"
"63",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9349438 35.4382664 978.3027720666896 4.269"
"64",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.93494 35.4382451 980.6707422725062 4.502"
"65",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.934976 35.4381701 1003.9 4.325"
"66",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9348074 35.4381094 1003.2 4.8"
"67",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola",NA
"68",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9347797 35.4381675 993.6 4.8"
"69",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9348666 35.4380442 989.1 4.775"
"70",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9349147 35.4381993 972.8 4.65"
"71",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9349237 35.4381163 983.2 4.82"
"72",6,66,"dodoma",660108,"ibihwa","mnkola","mnkola","-5.9347033 35.4381983 984.1 3.9"
"73",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890405 35.4914193 928.1616632139063 4.912"
"74",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890105 35.4914211 928.6061664723711 3.9"
"75",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0890145 35.4914365 925.0784524015754 4.898"
"76",6,66,"dodoma",660116,"kigwe","kigwe","kigwe","-6.0889687 35.4913903 922.3859298214996 4.801"
