"","fid","2.sell.place.name","2.sell.place.ward","2.sell.place.district","6.buy.place.name","6.buy.place.ward","6.buy.place.district","2.sell.place.ward.final","2.sell.place.district.final","2.sell.place.region.final","acceptAll.final.x","6.buy.place.ward.final","6.buy.place.district.final","6.buy.place.region.final","acceptAll.final.y"
"2740",1160151,"mahango","utenguleusangu","mbarali",NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR2",NA,NA,NA,NA
"2741",1160152,NA,NA,NA,"iduya","utenguleusangu","mbarali",NA,NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR2"
"2742",1160153,NA,NA,NA,"uhambule","utenguleusangu","mbarali",NA,NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR2"
"2743",1160154,"utenguleusangu","utenguleusangu","mbarali",NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR2",NA,NA,NA,NA
"2744",1160156,"kamsamba","kamsamba","momba",NA,NA,NA,"kamsamba","momba.dc","songwe","acceptWDR0",NA,NA,NA,NA
"2745",1160157,"mpona","kipeta","sumabwanga","itaka","itaka","mbozi","kipeta","sumbawanga.dc","rukwa","acceptWDR0","itaka","mbozi.dc","songwe","acceptWDR0"
"2746",1160158,"maleza","kate","sumabwanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747",1160159,"ilangawana","ilangawana","sumabwanga","mbeya","mbeya","mbeya","kipeta","sumbawanga.dc","rukwa","acceptHF2",NA,NA,NA,NA
"2748",1160160,NA,NA,NA,"ilangawana","ilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF2"
"2749",1160161,NA,NA,NA,"maleza","maleza","sumbawanga",NA,NA,NA,NA,NA,NA,NA,NA
"2750",1160162,NA,NA,NA,"maleza","kilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2751",1160163,"maleza","kilangawana","sumabwanga",NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0",NA,NA,NA,NA
"2752",1160164,NA,NA,NA,"maleza","kilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2753",1160165,NA,NA,NA,"maleza","kilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2754",1160166,NA,NA,NA,"kilangawana","kilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2755",1160167,NA,NA,NA,"kiwale","kaoze","sumabwanga",NA,NA,NA,NA,"kaoze","sumbawanga.dc","rukwa","acceptWDR0"
"2756",1160168,NA,NA,NA,"kilangawana","kilangawana","sumabwanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2757",1160169,"kilyamatundu","kipeta","sumbawanga",NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptWDR0",NA,NA,NA,NA
"2758",1160170,"mtapenda","kilangawana","sumbawanga","mtapenda","kilangawana","sumbawanga","kipeta","sumbawanga.dc","rukwa","acceptHF0","kipeta","sumbawanga.dc","rukwa","acceptHF0"
"2759",1160171,NA,NA,NA,"kilyamatundu","kipeta","sumbawanga",NA,NA,NA,NA,"kipeta","sumbawanga.dc","rukwa","acceptWDR0"
"2760",1160172,"muyu","kamsamba","momba",NA,NA,NA,"kamsamba","momba.dc","songwe","acceptWDR0",NA,NA,NA,NA
"2761",1160173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2762",1160174,NA,NA,NA,"mashete","mashete","nkasi",NA,NA,NA,NA,NA,NA,NA,NA
"2763",1160175,"kantawa","kipande","nkasi","kantawa","kipande","nkasi","kipande","nkasi.dc","rukwa","acceptWDR0","kipande","nkasi.dc","rukwa","acceptWDR0"
"2764",1160178,NA,NA,NA,"azimio.mswiswi","kongolo","mbarali",NA,NA,NA,NA,"kongolo","mbarali.dc","mbeya","acceptWDR0"
"2765",1160179,NA,NA,NA,"isimike","utengule.usangu","mbarali",NA,NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR0"
"2766",1160180,"luhanga","luhanga","mbarali",NA,NA,NA,"luhanga","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2767",1160181,"iyala","luhanga","mbarali",NA,NA,NA,"luhanga","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2768",1160182,"madundasi","luhanga","mbarali",NA,NA,NA,"luhanga","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2769",1160183,NA,NA,NA,"igurusi","igurusi","mbarali",NA,NA,NA,NA,"igurusi","mbarali.dc","mbeya","acceptWDR0"
"2770",1160184,NA,NA,NA,"azimio.mapula","kongolo","mbarali",NA,NA,NA,NA,"kongolo","mbarali.dc","mbeya","acceptWDR0"
"2771",1160185,"utengule.usangu","utengule.usangu","mbarali",NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2772",1160186,"isimike","utengule.usangu","mbarali",NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2773",1160187,NA,NA,NA,"mbalizi",NA,"mbeya",NA,NA,NA,NA,"nsalala","mbeya.dc","mbeya","acceptHF0"
"2774",1160188,"iyala","luhanga","mbarali","mogelo","rujewa","mbarali","luhanga","mbarali.dc","mbeya","acceptWDR0","rujewa","mbarali.dc","mbeya","acceptWDR0"
"2775",1160189,"madundasi","luhanga","mbarali",NA,NA,NA,"luhanga","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2776",1160190,"magulula","utengule.usangu","mbarali",NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR0",NA,NA,NA,NA
"2777",1160191,NA,NA,NA,"mahango","utengule.usangu","mbarali",NA,NA,NA,NA,"utengule.usangu","mbarali.dc","mbeya","acceptWDR0"
"2778",1160192,NA,NA,NA,"igurusi","igurusi","mbarali",NA,NA,NA,NA,"igurusi","mbarali.dc","mbeya","acceptWDR0"
"2779",1160193,NA,NA,NA,"rujewa","rujewa","mbarali",NA,NA,NA,NA,"rujewa","mbarali.dc","mbeya","acceptWDR0"
"2780",1160194,NA,NA,NA,"makambako","mji.mwema","njema",NA,NA,NA,NA,NA,NA,NA,NA
"2781",1160215,"chinongwe","chinongwe","masasi","chibwini","mwena","masasi",NA,NA,NA,NA,"mwena","masasi.dc","mtwara","acceptWDR0"
"2782",1160216,"luchelegwa","luchelegwa","ruangwa",NA,NA,NA,"luchelegwa","ruangwa.dc","lindi","acceptWDR0",NA,NA,NA,NA
"2783",1160217,NA,NA,NA,"nandangala","nandagala","rungwa",NA,NA,NA,NA,NA,NA,NA,NA
"2784",1160218,"mumbulu","nangoo","masasi",NA,NA,NA,"nanganga","masasi.dc","mtwara","acceptHF1",NA,NA,NA,NA
"2785",1160276,"salulu","signali","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786",1160277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2787",1160278,NA,NA,NA,"kichangani","viwanja.sitini","ifakara",NA,NA,NA,NA,NA,NA,NA,NA
"2788",1160279,"kipingo","signali","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2789",1160280,"mofu","mofu","mlimba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2790",1160281,NA,NA,NA,"makanyaga","kidatu","ifakara",NA,NA,NA,NA,"kidatu","kilombero.dc","morogoro","acceptWR0"
"2791",1160282,"sagamaganga","signali","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2792",1160283,"mofu","mofu","mlimba","kibaoni","melela","mvomero",NA,NA,NA,NA,"melela","mvomero.dc","morogoro","acceptWDR0"
"2793",1160284,NA,NA,NA,"stendi.ya.zamani","ifakara","ifakara",NA,NA,NA,NA,"ifakara","ifakara.tc","morogoro","acceptWDR0"
"2794",1160285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2795",1160286,"madukani","lipangalala","ifakara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2796",1160287,NA,NA,NA,"kivukoni","minepa","ulanga",NA,NA,NA,NA,"minepa","ulanga.dc","morogoro","acceptWDR0"
"2797",1160356,"chinongwe","chinongwe","ruangwa",NA,NA,NA,"chinongwe","ruangwa.dc","lindi","acceptWDR0",NA,NA,NA,NA
"2798",1160357,"luchelegwa","luchelegwa","ruangwa",NA,NA,NA,"luchelegwa","ruangwa.dc","lindi","acceptWDR0",NA,NA,NA,NA
"2799",1160358,"nandagala","nandagala","lindi",NA,NA,NA,"nandagala","ruangwa.dc","lindi","acceptWR0",NA,NA,NA,NA
"2800",1160359,NA,NA,NA,"mikumbi","mikumbi","newala",NA,NA,NA,NA,"chilangala","newala.dc","mtwara","acceptHF0"
"2801",1160422,"chinongwe.ruangwa","chinongwe","ruangwa",NA,NA,NA,"chinongwe","ruangwa.dc","lindi","acceptWDR0",NA,NA,NA,NA
"2802",1160423,"namangale","namangale","ruangwa","nangoo","nangoo","masasi","namangale","lindi.dc","lindi","acceptWR0","nanganga","masasi.dc","mtwara","acceptHF1"
"2803",1160425,"mikumbi","mikumbi","newala","nyangao","nyangao","lindi","chilangala","newala.dc","mtwara","acceptHF0","nyangao","lindi.dc","lindi","acceptWDR0"
"2804",1160426,"mdenga.nandagala.mmbulu","nangoo.nandagala","nangoo.lindi","mwena","mwena","masasi",NA,NA,NA,NA,"mwena","masasi.dc","mtwara","acceptWDR0"
"2805",1160428,NA,NA,NA,"mwena","mwena","masasi",NA,NA,NA,NA,"mwena","masasi.dc","mtwara","acceptWDR0"
"2806",1160429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2807",1160431,NA,NA,NA,"jida","jida","masasi",NA,NA,NA,NA,"jida","masasi.tc","mtwara","acceptWDR1"
"2808",1160432,"nangoo","nangoo","masasi",NA,NA,NA,"nanganga","masasi.dc","mtwara","acceptHF1",NA,NA,NA,NA
"2809",1160510,"kitiwale","igawa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2810",1160511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2811",1160512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2812",1160513,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2813",1160514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2814",1160515,"miembeni","mtimbira","malinyi",NA,NA,NA,"mtimbira","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2815",1160516,NA,NA,NA,"posta","ifakara","ifakara",NA,NA,NA,NA,"ifakara","ifakara.tc","morogoro","acceptWDR0"
"2816",1160593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2817",1160594,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2818",1160595,NA,NA,NA,"chingali","njiwa","malinyi",NA,NA,NA,NA,NA,NA,NA,NA
"2819",1160596,"mtimbira","mtimbira","malinyi",NA,NA,NA,"mtimbira","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2820",1160597,"sofi.mission","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2821",1160598,"sofi.majiji","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2822",1160599,NA,NA,NA,"kipingo","malinyi","malinyi",NA,NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0"
"2823",1160600,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2824",1160601,"salamiti","sofi","malinyi","itete","itete","malinyi","sofi","malinyi.dc","morogoro","acceptWDR0","itete","malinyi.dc","morogoro","acceptWDR0"
"2825",1160602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2826",1160603,"sofi.mission","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2827",1160604,"salamiti","sofi","malinyi","msalama","songea","songea","sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2828",1160605,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2829",1160606,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2830",1160670,"zingakibaoni","zingakibaoni","kilwa","ndomondo","ndomoni","nachingwea","miguruwe","kilwa.dc","lindi","acceptHF1","ndomoni","nachingwea.dc","lindi","acceptWDR0"
"2831",1160671,"makitikiti","ndomoni","nachingwea",NA,NA,NA,"ndomoni","nachingwea.dc","lindi","acceptWDR0",NA,NA,NA,NA
"2832",1160672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2833",1160688,NA,NA,NA,"kidatu","kidatu","ifakara",NA,NA,NA,NA,"kidatu","kilombero.dc","morogoro","acceptWR0"
