"","fid","2.sell.place.name","2.sell.place.ward","2.sell.place.district","6.buy.place.name","6.buy.place.ward","6.buy.place.district","2.sell.place.ward.final","2.sell.place.district.final","2.sell.place.region.final","acceptAll.final.x","6.buy.place.ward.final","6.buy.place.district.final","6.buy.place.region.final","acceptAll.final.y"
"2884",1160739,"sofi.majiji","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2885",1160740,"kiswago","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2886",1160741,"salamiti","sofi","malinyi","ifakara","ifakara","ifakara","sofi","malinyi.dc","morogoro","acceptWDR0","ifakara","ifakara.tc","morogoro","acceptWDR0"
"2887",1160742,"salamiti","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2888",1160743,"sofi","sofi","malinyi",NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2889",1160744,"mipururu","usangule","malinyi",NA,NA,NA,"usangule","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2890",1160745,NA,NA,NA,"majiji","sofi","malinyi",NA,NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0"
"2891",1160746,"salamiti","sofi","malinyi","dsm","vingunguti","ilala","sofi","malinyi.dc","morogoro","acceptWDR0","vingunguti","ilala.mc","dar.es.salaam","acceptWDR0"
"2892",1160747,NA,NA,NA,"likea","sofi","malinyi",NA,NA,NA,NA,"sofi","malinyi.dc","morogoro","acceptWDR0"
"2893",1160748,"lupunga","ngoheranga","malinyi",NA,NA,NA,"ngoheranga","malinyi.dc","morogoro","acceptWDR0",NA,NA,NA,NA
"2894",1160749,"salamiti","sofi","malinyi","itete","itete","malinyi","sofi","malinyi.dc","morogoro","acceptWDR0","itete","malinyi.dc","morogoro","acceptWDR0"
"2895",1160750,NA,NA,NA,"misegese","malinyi","malinyi",NA,NA,NA,NA,"malinyi","malinyi.dc","morogoro","acceptWDR0"
