"","fid","date","date.final","country","region.final","district.final","ward.final","village.final","market.final","market.type","sheep.0to12","sheep.adult","goat.0to12","goat.adult","gps.coordinates.of.the.market","unique.row.identifier.uuid."
"28",1154779,2022-05-14,"2022-05-28",6,"simiyu","busega","lutubiga","mwasamba","mwasamba",1,25,150,50,100,"-2.3098225 33.8100078 1171.6937255859375 3.9","35272875-dec9-11ec-9416-9440c9ab47f0"
"29",1154855,2022-05-28,"2022-05-28",6,"mbeya","mbarali","igava","muungano","muungano",1,11,25,23,65,"-8.5754701 34.4772768 1043.2465638471767 5.0","350fa8c2-dec9-11ec-9416-9440c9ab47f0"
"30",1155178,2022-05-28,"2022-05-29",6,"morogoro","ulanga","iragua","namhanga","mbenja",1,9,22,19,32,"-8.4201456 36.4698388 253.84825681226823 4.63","5ff5006f-df92-11ec-9416-9440c9ab47f0"
"31",1155333,2022-05-29,"2022-05-29",6,"mbeya","mbarali","imalilosongwe","imalilosongwe","imalilosongwe",1,13,30,18,47,"-8.6186812 34.267239 1040.0658387113363 5.0","5f6b3c03-df92-11ec-9416-9440c9ab47f0"
"32",1155685,2022-05-22,"2022-05-30",6,"katavi","mlele","majimoto","kitupa","majimoto.a",1,12,13,14,13,"-7.255462 31.3945192 909.3 4.98","8378f355-e05b-11ec-9416-9440c9ab47f0"
"33",1155744,2022-05-28,"2022-05-30",6,"mtwara","masasi.township.authority","jida","mtandi.b","mtandi",1,13,9,8,21,"-10.6716333 38.8678644 377.6 4.82","8395aba5-e05b-11ec-9416-9440c9ab47f0"
"34",1155784,2022-05-28,"2022-05-30",6,"mtwara","masasi.township.authority","jida","mtandi.b","mtandi",1,5,23,7,34,"-10.7177256 38.8283352 382.8 4.6","836aafdb-e05b-11ec-9416-9440c9ab47f0"
"35",1155789,2022-05-30,"2022-05-30",6,"mtwara","nanyumbu","nanyumbu","maneme","nanyumbu",1,6,8,11,16,"-11.1418171 38.4930591 270.0 4.74","83827ff4-e05b-11ec-9416-9440c9ab47f0"
"36",1156284,2022-05-30,"2022-05-30",6,"morogoro","mvomero","kanga","mziha","mziha",1,3,17,4,110,"-5.9081126 37.781858 424.158558038684 4.451","83e8744d-e05b-11ec-9416-9440c9ab47f0"
"37",1156398,2022-05-30,"2022-05-30",6,"dodoma","bahi","zanka","mayamaya","mayamaya",1,15,40,40,130,"-5.8183698 35.8019813 1121.3958945774011 4.7","b3807063-e124-11ec-9416-9440c9ab47f0"
"38",1156579,2022-05-30,"2022-05-31",6,"katavi","mlele","itenka","itenka.a","itenka",1,6,32,4,246,"-6.4942003 30.9955465 1001.5523022016068 5.0","b3a39429-e124-11ec-9416-9440c9ab47f0"
"39",1156595,2022-05-31,"2022-05-31",6,"katavi","mlele","mamba","kilda.kona","kilda.kona",1,0,24,6,92,"-7.4317883 31.3842508 868.171676783817 4.466","b36ae6e1-e124-11ec-9416-9440c9ab47f0"
"40",1156645,2022-05-31,"2022-05-31",6,"morogoro","kilosa","rudewa","gongoni","gongoni",1,17,35,41,63,"-6.6449033 37.1520733 444.9 3.9","b2b30d4f-e124-11ec-9416-9440c9ab47f0"
