place,wdr.A,wdr.B,dist.A,dist.B,reg.A.dist,ward.A.dist,dist_sum,acceptWR0,
maswa,maswa-maswa.dc-simiyu,masela-maswa.dc-simiyu,maswa.dc,maswa.dc,0,0.177777778,0.177777778,,
maziwa,maziwa-bahi.dc-dodoma,mazae-mpwapwa.dc-dodoma,bahi.dc,mpwapwa.dc,0,0.177777778,0.177777778,,
maziwa,maziwa-chemba.dc-dodoma,mazae-mpwapwa.dc-dodoma,chemba.dc,mpwapwa.dc,0,0.177777778,0.177777778,,
mitesa,mitesa-masasi.dc-mtwara,miuta-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.177777778,0.177777778,,
mnkola,mnkola-bahi.dc-dodoma,mkoka-kongwa.dc-dodoma,bahi.dc,kongwa.dc,0,0.177777778,0.177777778,,
mziha,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
mziha.kwakonji,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
mziha.nyumbani,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
njeula.nyumbani,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
njeura,mziha-mvomero.dc-morogoro,mzinga-morogoro.mc-morogoro,mvomero.dc,morogoro.mc,0,0.177777778,0.177777778,,
ugoda,lugoda-mufindi.dc-iringa,lugalo-kilolo.dc-iringa,mufindi.dc,kilolo.dc,0,0.177777778,0.177777778,,
uhenga,uhenga-wanging.ombe.dc-njombe,ubena-makambako.tc-njombe,wanging.ombe.dc,makambako.tc,0,0.177777778,0.177777778,,
miula,miula-nkasi.dc-rukwa,milepa-sumbawanga.dc-rukwa,nkasi.dc,sumbawanga.dc,0,0.177777778,0.177777778,,
ibilisi,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kabatini,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kagunga,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kahele,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kapanga,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
katuma,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kayenze,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
mikang.ombe,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
milala,milala-tanganyika-tanganyika,mlalo-lushoto.dc-tanga,tanganyika,lushoto.dc,0.166666667,0.177777778,0.344444444,,
mpembe,katuma-tanganyika-tanganyika,mkata-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.177777778,0.344444444,,
kanoge,uzega-inyonga-inyonga,ukwega-kilolo.dc-iringa,inyonga,kilolo.dc,0.253968254,0.177777778,0.431746032,,
isale,isunta-namanyere-namanyere,sunya-kiteto.dc-manyara,namanyere,kiteto.dc,0.26984127,0.177777778,0.447619048,,
isunta,isunta-namanyere-namanyere,sunya-kiteto.dc-manyara,namanyere,kiteto.dc,0.26984127,0.177777778,0.447619048,,
kuuza.kenya,silali-silali-silali,malili-busega.dc-simiyu,silali,busega.dc,0.333333333,0.177777778,0.511111111,,
silali,silali-silali-silali,malili-busega.dc-simiyu,silali,busega.dc,0.333333333,0.177777778,0.511111111,,
chita,melela-mlimba-mlimba,mkele-mjini-mjini.magharibi,mlimba,mjini,0.355555556,0.177777778,0.533333333,,
megelo,migelo-megelo-megelo,mkigo-kigoma.dc-kigoma,megelo,kigoma.dc,0.444444444,0.177777778,0.622222222,,
alabama,minazini-malinyi.dc-morogoro,mngazi-morogoro.dc-morogoro,malinyi.dc,morogoro.dc,0,0.180555556,0.180555556,,
madabadaba,minazini-malinyi.dc-morogoro,mngazi-morogoro.dc-morogoro,malinyi.dc,morogoro.dc,0,0.180555556,0.180555556,,
minazini,minazini-malinyi.dc-morogoro,mngazi-morogoro.dc-morogoro,malinyi.dc,morogoro.dc,0,0.180555556,0.180555556,,
mumbulu,nangoo-masasi.dc-mtwara,nangomba-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.180555556,0.180555556,,
nangoo,nangoo-masasi.dc-mtwara,nangomba-nanyumbu.dc-mtwara,masasi.dc,nanyumbu.dc,0,0.180555556,0.180555556,,
nchinila,nchinila-bahi.dc-dodoma,nhinhi-chamwino.dc-dodoma,bahi.dc,chamwino.dc,0,0.180555556,0.180555556,,
nkuswe,nkuswe-nkuswe-nkuswe,namkukwe-songwe.dc-songwe,nkuswe,songwe.dc,0.333333333,0.180555556,0.513888889,,
ifakara,mlabani-ifakara.tc-morogoro,mkambarani-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.180952381,0.180952381,,
kambanga,kibo-tanganyika-tanganyika,kwediboma-kilindi.dc-tanga,tanganyika,kilindi.dc,0.166666667,0.185185185,0.351851852,,
ntalamila,intamila-sumbawanga.dc-rukwa,sintali-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0.186507937,0.186507937,,
santamaria,kabwaga-tanganyika-tanganyika,kwachaga-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.186507937,0.353174603,,
namatumbusi.nachingwea.nahoro.liwale.namajani.masasi,nang.ondo-nachingwea.dc-lindi,nangando-liwale.dc-lindi,nachingwea.dc,liwale.dc,0,0.187169312,0.187169312,,
kisasa,makuru-bahi.dc-dodoma,makutupora-dodoma.cc-dodoma,bahi.dc,dodoma.cc,0,0.188888889,0.188888889,,
nambunda,mijejele-masasi.dc-mtwara,michenjele-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.189285714,0.189285714,,
bugunguli,buhunda-misungwi.dc-mwanza,bukanda-ukerewe.dc-mwanza,misungwi.dc,ukerewe.dc,0,0.19047619,0.19047619,,
chipole,chipole-masasi.dc-mtwara,chiwale-masasi.dc-mtwara,masasi.dc,masasi.dc,0,0.19047619,0.19047619,,
handeni,handeni-handeni.dc-tanga,sindeni-handeni.dc-tanga,handeni.dc,handeni.dc,0,0.19047619,0.19047619,,
handeni,handeni-tanga.cc-tanga,sindeni-handeni.dc-tanga,tanga.cc,handeni.dc,0,0.19047619,0.19047619,,
kongogo,kongogo-bahi.dc-dodoma,songoro-chemba.dc-dodoma,bahi.dc,chemba.dc,0,0.19047619,0.19047619,,
masasi.mjini,chipole-masasi.dc-mtwara,chiwale-masasi.dc-mtwara,masasi.dc,masasi.dc,0,0.19047619,0.19047619,,
mkundi,majembe-masasi.dc-mtwara,mnyambe-newala.dc-mtwara,masasi.dc,newala.dc,0,0.19047619,0.19047619,,
ndapo,kinyika-makete.dc-njombe,kifanya-njombe.mc-njombe,makete.dc,njombe.mc,0,0.19047619,0.19047619,,
kakoma,kipundu-nkasi.dc-rukwa,kipande-nkasi.dc-rukwa,nkasi.dc,nkasi.dc,0,0.19047619,0.19047619,,
gombe.nyumbani,lukande-lukande-lukande,kipande-nkasi.dc-rukwa,lukande,nkasi.dc,0.323809524,0.19047619,0.514285714,,
lukande,lukande-lukande-lukande,kipande-nkasi.dc-rukwa,lukande,nkasi.dc,0.323809524,0.19047619,0.514285714,,
nyumbani.lukande,lukande-lukande-lukande,kipande-nkasi.dc-rukwa,lukande,nkasi.dc,0.323809524,0.19047619,0.514285714,,
dodoma,dodoma.mjini-dodoma.cc-dodoma,kondoa.mjini-kondoa.tc-dodoma,dodoma.cc,kondoa.tc,0,0.194444444,0.194444444,,
kipingo,sugnal-ifakara.tc-morogoro,usangule-malinyi.dc-morogoro,ifakara.tc,malinyi.dc,0,0.194444444,0.194444444,,
mkokwa,mwamkulu-mpanda.dc-katavi,mwamapuli-mpimbwe.dc-katavi,mpanda.dc,mpimbwe.dc,0,0.194444444,0.194444444,,
mwamkulu,mwamkulu-mpanda.dc-katavi,mwamapuli-mpimbwe.dc-katavi,mpanda.dc,mpimbwe.dc,0,0.194444444,0.194444444,,
mwamkulu,mwamkulu-nsimbo.dc-katavi,mwamapuli-mpimbwe.dc-katavi,nsimbo.dc,mpimbwe.dc,0,0.194444444,0.194444444,,
mmbwendi,mkangale-nkasi.dc-rukwa,miangalua-sumbawanga.dc-rukwa,nkasi.dc,sumbawanga.dc,0,0.194444444,0.194444444,,
idandu,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
idandu.nyumbani,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
kikurukutu,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
mikochi,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
mikochi.nyumbani,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
miwangani.idete,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
namwawala,namwawala-mlimba-mlimba,nyamwaga-tarime.dc-mara,mlimba,tarime.dc,0.388888889,0.194444444,0.583333333,,
mwanangwa,mwanangwa-masasi.dc-mtwara,namalenga-masasi.dc-mtwara,masasi.dc,masasi.dc,0,0.195767196,0.195767196,,
kivingu,kivungu-kilosa.dc-morogoro,kibungo.juu-morogoro.dc-morogoro,kilosa.dc,morogoro.dc,0,0.199134199,0.199134199,,
kivungu,kivungu-kilosa.dc-morogoro,kibungo.juu-morogoro.dc-morogoro,kilosa.dc,morogoro.dc,0,0.199134199,0.199134199,,
lipangalala,lipangalala-ifakara.tc-morogoro,langali-mvomero.dc-morogoro,ifakara.tc,mvomero.dc,0,0.199134199,0.199134199,,
madukani,lipangalala-ifakara.tc-morogoro,langali-mvomero.dc-morogoro,ifakara.tc,mvomero.dc,0,0.199134199,0.199134199,,
mapili,mapili-mlele.dc-katavi,mwamapuli-mpimbwe.dc-katavi,mlele.dc,mpimbwe.dc,0,0.203703704,0.203703704,,
kipingo,signali-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.206349206,0.206349206,,
sagamaganga,signali-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.206349206,0.206349206,,
salulu,signali-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.206349206,0.206349206,,
sumbawanga,kantalamba-sumbawanga.dc-rukwa,katandala-sumbawanga.mc-rukwa,sumbawanga.dc,sumbawanga.mc,0,0.20787037,0.20787037,,
iheha,mad-mbarali.dc-mbeya,madibira-mbarali.dc-mbeya,mbarali.dc,mbarali.dc,0,0.208333333,0.208333333,,
kisima.cha.ndege,kisima.cha.ndege-bahi.dc-dodoma,kimaha-chemba.dc-dodoma,bahi.dc,chemba.dc,0,0.208333333,0.208333333,,
kisima.ndege,kisima.cha.ndege-bahi.dc-dodoma,kimaha-chemba.dc-dodoma,bahi.dc,chemba.dc,0,0.208333333,0.208333333,,
mkunyikwa,mad-mb-mb,madibira-mbarali.dc-mbeya,mb,mbarali.dc,0.2,0.208333333,0.408333333,,
kidulya,kidulya-bariadi.dc-simiyu,gilya-bariadi.dc-simiyu,bariadi.dc,bariadi.dc,0,0.20952381,0.20952381,,
kidulya,kidulya-bariadi.dc-simiyu,mkula-busega.dc-simiyu,bariadi.dc,busega.dc,0,0.20952381,0.20952381,,
kidulya,kidulya-bariadi.tc-simiyu,gilya-bariadi.dc-simiyu,bariadi.tc,bariadi.dc,0,0.20952381,0.20952381,,
kidulya,kidulya-bariadi.tc-simiyu,mkula-busega.dc-simiyu,bariadi.tc,busega.dc,0,0.20952381,0.20952381,,
masimba,masimba-chemba.dc-dodoma,massa-mpwapwa.dc-dodoma,chemba.dc,mpwapwa.dc,0,0.20952381,0.20952381,,
mikumbi,mikumbi-newala.dc-mtwara,mkuti-masasi.tc-mtwara,newala.dc,masasi.tc,0,0.20952381,0.20952381,,
milunda,milunda-masasi.dc-mtwara,miuta-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.20952381,0.20952381,,
tanga.kilwa,zinga-kilwa.dc-lindi,mchinga-lindi.dc-lindi,kilwa.dc,lindi.dc,0,0.20952381,0.20952381,,
zinga.kibaoni,zinga-kilwa.dc-lindi,mchinga-lindi.dc-lindi,kilwa.dc,lindi.dc,0,0.20952381,0.20952381,,
kalundi,kalundi-nkasi.dc-rukwa,mkali-kalambo.dc-rukwa,nkasi.dc,kalambo.dc,0,0.20952381,0.20952381,,
mpinga,kigwe-kigwe-kigwe,kigembe-kasulu.dc-kigoma,kigwe,kasulu.dc,0.3,0.20952381,0.50952381,,
mpinga,kigwe-kigwe-kigwe,buhigwe-buhigwe.dc-kigoma,kigwe,buhigwe.dc,0.3,0.20952381,0.50952381,,
chanikanguo,chanikanguo-masasi.dc-mtwara,shangani-mtwara.mc-mtwara,masasi.dc,mtwara.mc,0,0.210497835,0.210497835,,
chanikanguocha,chanikanguo-masasi.dc-mtwara,shangani-mtwara.mc-mtwara,masasi.dc,mtwara.mc,0,0.210497835,0.210497835,,
mailisita,chanikanguo-masasi.dc-mtwara,shangani-mtwara.mc-mtwara,masasi.dc,mtwara.mc,0,0.210497835,0.210497835,,
masasi,chanikanguo-masasi.dc-mtwara,shangani-mtwara.mc-mtwara,masasi.dc,mtwara.mc,0,0.210497835,0.210497835,,
kalimbaleza,kalumbaleza-sumbawanga.dc-rukwa,kala-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0.212121212,0.212121212,,
kalumbaleza,kalimbaleza-sumbawanga.dc-rukwa,kala-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0.212121212,0.212121212,,
mnazi,kalumbaleza-sumbawanga.dc-rukwa,kala-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0.212121212,0.212121212,,
mria,kalumbaleza-sumbawanga.dc-rukwa,kala-nkasi.dc-rukwa,sumbawanga.dc,nkasi.dc,0,0.212121212,0.212121212,,
kapalamsenga,kapalamsenga-tanganyika-tanganyika,mabalanga-kilindi.dc-tanga,tanganyika,kilindi.dc,0.166666667,0.212962963,0.37962963,,
mirinda,kapalamsenga-tanganyika-tanganyika,mabalanga-kilindi.dc-tanga,tanganyika,kilindi.dc,0.166666667,0.212962963,0.37962963,,
farm.17,nachingwea-masasi.dc-mtwara,chiwonga-newala.dc-mtwara,masasi.dc,newala.dc,0,0.213095238,0.213095238,,
songwe,ukululu-mbozi.dc-songwe,ngulugulu-ileje.dc-songwe,mbozi.dc,ileje.dc,0,0.214285714,0.214285714,,
minyagala,mnyagala-tanganyika-tanganyika,madanga-pangani.dc-tanga,tanganyika,pangani.dc,0.166666667,0.214285714,0.380952381,,
mnyagala,mnyagala-tanganyika-tanganyika,madanga-pangani.dc-tanga,tanganyika,pangani.dc,0.166666667,0.214285714,0.380952381,,
mnygala,mnyagala-tanganyika-tanganyika,madanga-pangani.dc-tanga,tanganyika,pangani.dc,0.166666667,0.214285714,0.380952381,,
mondo,mnyagala-tanganyika-tanganyika,madanga-pangani.dc-tanga,tanganyika,pangani.dc,0.166666667,0.214285714,0.380952381,,
mwakulu,mwakulu-tanganyika-tanganyika,kwamatuku-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.214285714,0.380952381,,
nkuli,ikungu-bariadi.dc-simiyu,ikungulyabashashi-bariadi.dc-simiyu,bariadi.dc,bariadi.dc,0,0.215686275,0.215686275,,
biti,biti-bariadi.dc-simiyu,mbita-itilima.dc-simiyu,bariadi.dc,itilima.dc,0,0.216666667,0.216666667,,
chandulu,haya-magu.dc-mwanza,malya-kwimba.dc-mwanza,magu.dc,kwimba.dc,0,0.216666667,0.216666667,,
chikukwe,chikukwe-masasi.dc-mtwara,chingungwe-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.216666667,0.216666667,,
kashishi,kashishi-mpimbwe.dc-katavi,kashaulili-mpanda.mc-katavi,mpimbwe.dc,mpanda.mc,0,0.216666667,0.216666667,,
liloya,chikukwe-masasi.dc-mtwara,chingungwe-tandahimba.dc-mtwara,masasi.dc,tandahimba.dc,0,0.216666667,0.216666667,,
meta,meta-newala.dc-mtwara,mwena-masasi.dc-mtwara,newala.dc,masasi.dc,0,0.216666667,0.216666667,,
meta,meta-newala.dc-mtwara,miuta-tandahimba.dc-mtwara,newala.dc,tandahimba.dc,0,0.216666667,0.216666667,,
moba,kashishi-mpimbwe.dc-katavi,kashaulili-mpanda.mc-katavi,mpimbwe.dc,mpanda.mc,0,0.216666667,0.216666667,,
ntula,kashishi-mpimbwe.dc-katavi,kashaulili-mpanda.mc-katavi,mpimbwe.dc,mpanda.mc,0,0.216666667,0.216666667,,
pugu,pugu-kibaha.dc-pwani,bungu-kibiti.dc-pwani,kibaha.dc,kibiti.dc,0,0.216666667,0.216666667,,
salama,haya-kwimba.dc-mwanza,malya-kwimba.dc-mwanza,kwimba.dc,kwimba.dc,0,0.216666667,0.216666667,,
ikola,ikola-tanganyika-tanganyika,kilwa-kilindi.dc-tanga,tanganyika,kilindi.dc,0.166666667,0.216666667,0.383333333,,
dar.es.salaam,pugu-pugu-pugu,luegu-namtumbo.dc-ruvuma,pugu,namtumbo.dc,0.388888889,0.216666667,0.605555556,,
daresalamu,pugu-pugu-pugu,luegu-namtumbo.dc-ruvuma,pugu,namtumbo.dc,0.388888889,0.216666667,0.605555556,,
pugu,pugu-pugu-pugu,luegu-namtumbo.dc-ruvuma,pugu,namtumbo.dc,0.388888889,0.216666667,0.605555556,,
fitumbi,magunga-chunya.dc-mbeya,maanga-mbeya.mc-mbeya,chunya.dc,mbeya.mc,0,0.217460317,0.217460317,,
gasima,gasuma-bariadi.dc-simiyu,ngasamo-busega.dc-simiyu,bariadi.dc,busega.dc,0,0.217460317,0.217460317,,
gasuma,gasuma-bariadi.dc-simiyu,ngasamo-busega.dc-simiyu,bariadi.dc,busega.dc,0,0.217460317,0.217460317,,
kipingo,signal-kilombero.dc-morogoro,singisa-morogoro.dc-morogoro,kilombero.dc,morogoro.dc,0,0.217460317,0.217460317,,
kipingu,signal-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.217460317,0.217460317,,
sagamaganga,signal-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.217460317,0.217460317,,
sagamaganga.nyumbani,signal-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.217460317,0.217460317,,
signal.kipingo,signal-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.217460317,0.217460317,,
sululu,signal-ifakara.tc-morogoro,singisa-morogoro.dc-morogoro,ifakara.tc,morogoro.dc,0,0.217460317,0.217460317,,
namanyere,isunta-nkasi.dc-rukwa,sintali-nkasi.dc-rukwa,nkasi.dc,nkasi.dc,0,0.217460317,0.217460317,,
songambele,inyonga-inyonga-inyonga,mninga-mufindi.dc-iringa,inyonga,mufindi.dc,0.253968254,0.217460317,0.471428571,,
chipole,mumbaka-masasi.dc-mtwara,namtumbuka-nanyamba.tc-mtwara,masasi.dc,nanyamba.tc,0,0.219047619,0.219047619,,
lundelunde,mumbaka-masasi.dc-mtwara,namtumbuka-nanyamba.tc-mtwara,masasi.dc,nanyamba.tc,0,0.219047619,0.219047619,,
milundelunde,mumbaka-masasi.dc-mtwara,namtumbuka-nanyamba.tc-mtwara,masasi.dc,nanyamba.tc,0,0.219047619,0.219047619,,
mumbaka,mumbaka-masasi.dc-mtwara,namtumbuka-nanyamba.tc-mtwara,masasi.dc,nanyamba.tc,0,0.219047619,0.219047619,,
kona.ya.miyagala,minyagala-tanganyika-tanganyika,mazingara-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.21957672,0.386243386,,
mtakuja,minyagala-tanganyika-tanganyika,mazingara-handeni.dc-tanga,tanganyika,handeni.dc,0.166666667,0.21957672,0.386243386,,
mdenga.nandagala.mmbulu,nangoo.nandagala-nangoo.lindi-nangoo.lindi,nandagala-ruangwa.dc-lindi,nangoo.lindi,ruangwa.dc,0.477777778,0.219907407,0.697685185,,
kamsabwa,kamsabwa-sumbawanga.dc-rukwa,kasanga-kalambo.dc-rukwa,sumbawanga.dc,kalambo.dc,0,0.220238095,0.220238095,,
kamsamba,kamsamba-sumbawanga.dc-rukwa,kasanga-kalambo.dc-rukwa,sumbawanga.dc,kalambo.dc,0,0.220238095,0.220238095,,
ilambilole,kising.a-iringa.dc-iringa,kasanga-mufindi.dc-iringa,iringa.dc,mufindi.dc,0,0.220238095,0.220238095,,
machombe,machombe-masasi.dc-mtwara,mnyambe-newala.dc-mtwara,masasi.dc,newala.dc,0,0.220238095,0.220238095,,
mafuluto,mafuluto-iringa.dc-iringa,mdabulo-mufindi.dc-iringa,iringa.dc,mufindi.dc,0,0.220238095,0.220238095,,
mnarani,mnarani-ifakara.tc-morogoro,mkwatani-kilosa.dc-morogoro,ifakara.tc,kilosa.dc,0,0.220238095,0.220238095,,
nairombo,nairombo-masasi.dc-mtwara,kiromba-nanyamba.tc-mtwara,masasi.dc,nanyamba.tc,0,0.220238095,0.220238095,,
nasa,nyashimo-busega.dc-simiyu,ngasamo-busega.dc-simiyu,busega.dc,busega.dc,0,0.220238095,0.220238095,,
nyashimo,nyashimo-busega.dc-simiyu,ngasamo-busega.dc-simiyu,busega.dc,busega.dc,0,0.220238095,0.220238095,,
nyumbani.mnadani,mnadani-maswa.dc-simiyu,madobana-bariadi.dc-simiyu,maswa.dc,bariadi.dc,0,0.220238095,0.220238095,,
nyumbani.mnadani,mnadani-maswa.dc-simiyu,mwamtani-itilima.dc-simiyu,maswa.dc,itilima.dc,0,0.220238095,0.220238095,,
magigiwe,magigiwe-magigiwe-magigiwe,magange-serengeti.dc-mara,magigiwe,serengeti.dc,0.416666667,0.220238095,0.636904762,,
mwakibiga,mwakidiga-maswa.dc-simiyu,mwakisandu-meatu.dc-simiyu,maswa.dc,meatu.dc,0,0.221693122,0.221693122,,
bumhala,buhala-bariadi.dc-simiyu,bunamhala-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.222222222,0.222222222,,
dodoma,kisasa-dodoma.cc-dodoma,kisese-kondoa.dc-dodoma,dodoma.cc,kondoa.dc,0,0.222222222,0.222222222,,
dodoma,kisasa-dodoma.cc-dodoma,kimaha-chemba.dc-dodoma,dodoma.cc,chemba.dc,0,0.222222222,0.222222222,,
dudulu,dudulu-itilima.dc-simiyu,lugulu-itilima.dc-simiyu,itilima.dc,itilima.dc,0,0.222222222,0.222222222,,
giliku,giliku-bariadi.tc-simiyu,igalukilo-busega.dc-simiyu,bariadi.tc,busega.dc,0,0.222222222,0.222222222,,
igangwe,nkung.ungu-chunya.dc-mbeya,nkunga-rungwe.dc-mbeya,chunya.dc,rungwe.dc,0,0.222222222,0.222222222,,
igumbilo,milola-ulanga.dc-morogoro,dumila-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbilo,milola-ulanga.dc-morogoro,malolo-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbilo,milola-ulanga.dc-morogoro,ilonga-ulanga.dc-morogoro,ulanga.dc,ulanga.dc,0,0.222222222,0.222222222,,
igumbilo,milola-ulanga.dc-morogoro,melela-mvomero.dc-morogoro,ulanga.dc,mvomero.dc,0,0.222222222,0.222222222,,
igumbilo.milola.na.mavimba,milola-ulanga.dc-morogoro,dumila-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbilo.milola.na.mavimba,milola-ulanga.dc-morogoro,malolo-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbilo.milola.na.mavimba,milola-ulanga.dc-morogoro,ilonga-ulanga.dc-morogoro,ulanga.dc,ulanga.dc,0,0.222222222,0.222222222,,
igumbilo.milola.na.mavimba,milola-ulanga.dc-morogoro,melela-mvomero.dc-morogoro,ulanga.dc,mvomero.dc,0,0.222222222,0.222222222,,
igumbiro,milola-ulanga.dc-morogoro,dumila-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbiro,milola-ulanga.dc-morogoro,malolo-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbiro,milola-ulanga.dc-morogoro,ilonga-ulanga.dc-morogoro,ulanga.dc,ulanga.dc,0,0.222222222,0.222222222,,
igumbiro,milola-ulanga.dc-morogoro,melela-mvomero.dc-morogoro,ulanga.dc,mvomero.dc,0,0.222222222,0.222222222,,
igumbiro.nyumbani,milola-ulanga.dc-morogoro,dumila-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbiro.nyumbani,milola-ulanga.dc-morogoro,malolo-kilosa.dc-morogoro,ulanga.dc,kilosa.dc,0,0.222222222,0.222222222,,
igumbiro.nyumbani,milola-ulanga.dc-morogoro,ilonga-ulanga.dc-morogoro,ulanga.dc,ulanga.dc,0,0.222222222,0.222222222,,
igumbiro.nyumbani,milola-ulanga.dc-morogoro,melela-mvomero.dc-morogoro,ulanga.dc,mvomero.dc,0,0.222222222,0.222222222,,
ikunguligu,ikunguligu-itilima.dc-simiyu,lugulu-itilima.dc-simiyu,itilima.dc,itilima.dc,0,0.222222222,0.222222222,,
kabisile,nkung.ungu-chunya.dc-mbeya,nkunga-rungwe.dc-mbeya,chunya.dc,rungwe.dc,0,0.222222222,0.222222222,,
kinyampuma,nkung.ungu-chunya.dc-mbeya,nkunga-rungwe.dc-mbeya,chunya.dc,rungwe.dc,0,0.222222222,0.222222222,,
kisasa,kisasa-dodoma.cc-dodoma,kisese-kondoa.dc-dodoma,dodoma.cc,kondoa.dc,0,0.222222222,0.222222222,,
kisasa,kisasa-dodoma.cc-dodoma,kimaha-chemba.dc-dodoma,dodoma.cc,chemba.dc,0,0.222222222,0.222222222,,
kisasa,kisasa-iringa.dc-iringa,kihesa-iringa.mc-iringa,iringa.dc,iringa.mc,0,0.222222222,0.222222222,,
kisasa,kisasa-iringa.dc-iringa,kimala-kilolo.dc-iringa,iringa.dc,kilolo.dc,0,0.222222222,0.222222222,,
kwarugulu,negolo-kilindi.dc-tanga,manolo-lushoto.dc-tanga,kilindi.dc,lushoto.dc,0,0.222222222,0.222222222,,
kwarugulu,negolo-kilindi.dc-tanga,negero-kilindi.dc-tanga,kilindi.dc,kilindi.dc,0,0.222222222,0.222222222,,
kwarugulu.nyumbani,negolo-kilindi.dc-tanga,manolo-lushoto.dc-tanga,kilindi.dc,lushoto.dc,0,0.222222222,0.222222222,,
kwarugulu.nyumbani,negolo-kilindi.dc-tanga,negero-kilindi.dc-tanga,kilindi.dc,kilindi.dc,0,0.222222222,0.222222222,,
