place,wdr.A,wdr.B,dist.A,dist.B,reg.A.dist,ward.A.dist,dist_sum,acceptWR0,
bwawani,kiberenge-ifakara.tc-morogoro,kiberege-kilombero.dc-morogoro,ifakara.tc,kilombero.dc,0,0.037037037,0.037037037,,
kiberenge,kiberenge-ifakara.tc-morogoro,kiberege-kilombero.dc-morogoro,ifakara.tc,kilombero.dc,0,0.037037037,0.037037037,,
kiberenge.nyumbani,kiberenge-ifakara.tc-morogoro,kiberege-kilombero.dc-morogoro,ifakara.tc,kilombero.dc,0,0.037037037,0.037037037,,
kilulu,bunamala-bariadi.dc-simiyu,bunamhala-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.037037037,0.037037037,,
makambako,mji.mwema-njombe.dc-njombe,mjimwema-njombe.mc-njombe,njombe.dc,njombe.mc,0,0.037037037,0.037037037,,
makambako,mji.mwema-njombe.dc-njombe,mjimwema-makambako.tc-njombe,njombe.dc,makambako.tc,0,0.037037037,0.037037037,,
njombe,mji.mwema-njombe.dc-njombe,mjimwema-njombe.mc-njombe,njombe.dc,njombe.mc,0,0.037037037,0.037037037,,
njombe,mji.mwema-njombe.dc-njombe,mjimwema-makambako.tc-njombe,njombe.dc,makambako.tc,0,0.037037037,0.037037037,,
makambako,mji.mwema-njema-njema,mjimwema-njombe.mc-njombe,njema,njombe.mc,0.3,0.037037037,0.337037037,,
makambako,mji.mwema-njema-njema,mjimwema-makambako.tc-njombe,njema,makambako.tc,0.3,0.037037037,0.337037037,,
mango,mango-bariadi.tc-simiyu,mhango-bariadi.dc-simiyu,bariadi.tc,bariadi.dc,0,0.055555556,0.055555556,,
sanga,sanga-busega.dc-simiyu,isanga-bariadi.tc-simiyu,busega.dc,bariadi.tc,0,0.055555556,0.055555556,,
sanga,sanga-busega.dc-simiyu,isanga-maswa.dc-simiyu,busega.dc,maswa.dc,0,0.055555556,0.055555556,,
igoma,igoma-kalemela-kalemela,kigoma-kigoma.municipal.ujiji-kigoma,kalemela,kigoma.municipal.ujiji,0.375,0.055555556,0.430555556,,
kichangani,mgeta-mlimba-mlimba,mugeta-bunda.dc-mara,mlimba,bunda.dc,0.388888889,0.055555556,0.444444444,,
ntungwa,mkomba-mkomba-mkomba,mkoma-rorya.dc-mara,mkomba,rorya.dc,0.388888889,0.055555556,0.444444444,,
nyangokorwa,nyangokorwa-bariadi.dc-simiyu,nyangokolwa-bariadi.tc-simiyu,bariadi.dc,bariadi.tc,0,0.060606061,0.060606061,,
