"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"759","sagamaganga","signal","ifakara.tc","morogoro","sagamaganga","sagamaganga","Kiberege","Kilombero DC","morogoro","sagamaganga-sagamaganga",0.173913043478261,0,NA
"760","sagamaganga","signali","ifakara.tc","morogoro","sagamaganga","sagamaganga","Kiberege","Kilombero DC","morogoro","sagamaganga-sagamaganga",0.173913043478261,0,NA
"761","sagamaganga.nyumbani","signal","ifakara.tc","morogoro","ngamanga","ngamanga","Ipinda","Kyela DC","mbeya","ngamanga-ngamanga",0.25406162464986,0.558333333333333,NA
"762","sagamaganga.nyumbani","signal","ifakara.tc","morogoro","ngamanga","ngamanga","Ipinda","Kyela DC","mbeya","ngamanga-ngamanga",0.25406162464986,0.558333333333333,NA
"763","saja","nagelo","handeni.dc","tanga","saja","saja","Saja","Wanging'ombe DC","njombe","saja-saja",0.185185185185185,0.544444444444445,NA
"764","saja","tanga","kilindi.dc","tanga","saja","saja","Saja","Wanging'ombe DC","njombe","saja-saja",0.185185185185185,0.544444444444445,NA
"765","salama","haya","kwimba.dc","mwanza","salamabugatu","salama","Ng'haya","Magu DC","mwanza","salamabugatu-salama",0.228070175438597,0,NA
"766","salulu","signali","ifakara.tc","morogoro","galula","galula","Galula","Songwe DC","songwe","galula-galula",0.260683760683761,0.472222222222222,NA
"767","salulu","signali","ifakara.tc","morogoro","maluga","maluga","Kinampanda","Iramba DC","singida","maluga-maluga",0.260683760683761,0.577380952380952,NA
"768","salulu","signali","ifakara.tc","morogoro","malula","malula","King'ori","Meru DC","arusha","malula-malula",0.260683760683761,0.569444444444445,NA
"769","sanga","sanga","busega.dc","simiyu","sange","sange","Mkwaja","Pangani DC","tanga","sange-sange",0.181818181818182,1,NA
"770","sanga","sanga","busega.dc","simiyu","sange","sange","Sange","Ileje DC","songwe","sange-sange",0.181818181818182,0.555555555555556,NA
"771","sanga","sanga","busega.dc","simiyu","sango","sango","Kimochi","Moshi DC","kilimanjaro","sango-sango",0.181818181818182,0.52020202020202,NA
"772","santa.maria","mwamkulu","tanganyika","tanganyika","sanawari","naura","Sekei","Arusha CC","arusha","sanawari-naura",0.233766233766234,0.488888888888889,NA
"773","santa.maria","mwamkulu","tanganyika","tanganyika","sanawari","naura","Sekei","Arusha CC","arusha","sanawari-naura",0.233766233766234,0.488888888888889,NA
"774","santamaria","kabwaga","tanganyika","tanganyika","sanawari","naura","Sekei","Arusha CC","arusha","sanawari-naura",0.20952380952381,0.488888888888889,NA
"775","santamaria","kabwaga","tanganyika","tanganyika","sanawari","naura","Sekei","Arusha CC","arusha","sanawari-naura",0.20952380952381,0.488888888888889,NA
"776","sante","mkomba","momba.dc","songwe","sant'egidio","sabasaba","Gangilonga","Iringa MC","iringa","sant'egidio-sabasaba",0.25,0.444444444444445,NA
"777","sante","mkomba","momba.dc","songwe","sayuni","katesh stendi","Katesh","Hanang DC","manyara","sayuni-katesh stendi",0.25,0.563492063492063,NA
"778","sante","mkomba","momba.dc","songwe","sant'egidio","sabasaba","Gangilonga","Iringa MC","iringa","sant'egidio-sabasaba",0.25,0.444444444444445,NA
"779","sante","mkomba","momba.dc","songwe","sayuni","katesh stendi","Katesh","Hanang DC","manyara","sayuni-katesh stendi",0.25,0.563492063492063,NA
"780","sebwesa","sibwesa","tanganyika","tanganyika","msewe","msewe","Ubungo","Ubungo MC","dar es salaam","msewe-msewe",0.277056277056277,0.48974358974359,NA
"781","senga","kamsamba","kamsamba","kamsamba","senga","senga","Senga","Geita DC","geita","senga-senga",0.181818181818182,0.558333333333333,NA
"782","senga","kamsamba","kamsamba","kamsamba","senga","senga","Senga","Sumbawanga MC","rukwa","senga-senga",0.181818181818182,0.45,NA
"783","sentaunyenya","madiru","mpimbwe.dc","katavi","sengenya","sengenya","Sengenya","Nanyumbu DC","mtwara","sengenya-sengenya",0.226143790849673,0.444444444444445,NA
"784","sentemalaria","sibwesa","tanganyika","tanganyika","shengena","marieni","Chome","Same DC","kilimanjaro","shengena-marieni",0.266203703703704,0.578787878787879,NA
"785","serengeti","nyatwali","bunda.tc","mara","serengeti","kimamba b","Kimamba B","Kilosa DC","morogoro","serengeti-kimamba b",0.175438596491228,0.416666666666667,NA
"786","serengeti","nyatwali","bunda.tc","mara","serengeti","kimamba b","Kimamba B","Kilosa DC","morogoro","serengeti-kimamba b",0.175438596491228,0.416666666666667,NA
"787","serengeti","nyatwali","mara","mara","serengeti","kimamba b","Kimamba B","Kilosa DC","morogoro","serengeti-kimamba b",0.175438596491228,0.416666666666667,NA
"788","serengeti","nyatwali","mara","mara","serengeti","kimamba b","Kimamba B","Kilosa DC","morogoro","serengeti-kimamba b",0.175438596491228,0.416666666666667,NA
"789","shinyanga.mwenge","shinyanga.mwenge","maswa.dc","simiyu","shinyangamwenge","shinyanga","Dakama","Maswa DC","simiyu","shinyangamwenge-shinyanga",0.154166666666667,0,NA
"790","sibwesa","sibwesa","tanganyika","tanganyika","sibwesa","sibwesa","Sibwesa","Mpanda DC","katavi","sibwesa-sibwesa",0.177777777777778,0.394444444444444,NA
"791","sibwesa","sibwesa","tanganyika","tanganyika","sibwesa","sibwesa","Kalya","Uvinza DC","kigoma","sibwesa-sibwesa",0.177777777777778,0.655555555555556,NA
"792","sibwesa","simbwesa","tanganyika","tanganyika","sibwesa","sibwesa","Sibwesa","Mpanda DC","katavi","sibwesa-sibwesa",0.177777777777778,0.394444444444444,NA
"793","sibwesa","simbwesa","tanganyika","tanganyika","sibwesa","sibwesa","Kalya","Uvinza DC","kigoma","sibwesa-sibwesa",0.177777777777778,0.655555555555556,NA
"794","signal.kipingo","signal","ifakara.tc","morogoro","signali","siginali","Kiberege","Kilombero DC","morogoro","signali-siginali",0.253571428571429,0,NA
"795","signal.kipingo","signal","ifakara.tc","morogoro","signali","siginali","Kiberege","Kilombero DC","morogoro","signali-siginali",0.253571428571429,0,NA
"796","silali","silali","silali","silali","sali","sali","Sali","Ulanga DC","morogoro","sali-sali",0.166666666666667,1,NA
"797","silali","silali","silali","silali","sali","sali","Sali","Ulanga DC","morogoro","sali-sali",0.166666666666667,1,NA
"798","songambele","inyonga","inyonga","inyonga","songambele","not set","Idibo","Gairo DC","morogoro","songambele-not set",0.148148148148148,0.488095238095238,NA
"799","songambele","kamsisi","mlele.dc","katavi","songambele","not set","Idibo","Gairo DC","morogoro","songambele-not set",0.148148148148148,1,NA
"800","songea","songea","songea.dc","ruvuma","songe","songe","Songe","Kilindi DC","tanga","songe-songe",0.237373737373737,0.544444444444445,NA
"801","songea","songea","songea.mc","ruvuma","songe","songe","Songe","Kilindi DC","tanga","songe-songe",0.237373737373737,0.544444444444445,NA
"802","songwe","ukululu","mbozi.dc","songwe","songe","songe","Songe","Kilindi DC","tanga","songe-songe",0.237373737373737,0.422222222222222,NA
"803","sulu","mbalagane","maswa.dc","simiyu","suli","suli","Fufu","Chamwino DC","dodoma","suli-suli",0.185185185185185,0.555555555555556,NA
"804","sulu","mbalagane","maswa.dc","simiyu","sulu","sulu","Lalago","Maswa DC","simiyu","sulu-sulu",0.185185185185185,0,NA
"805","sulu","mbalagani","maswa.dc","simiyu","suli","suli","Fufu","Chamwino DC","dodoma","suli-suli",0.185185185185185,0.555555555555556,NA
"806","sulu","mbalagani","maswa.dc","simiyu","sulu","sulu","Lalago","Maswa DC","simiyu","sulu-sulu",0.185185185185185,0,NA
"807","sulu","mbaragane","maswa.dc","simiyu","suli","suli","Fufu","Chamwino DC","dodoma","suli-suli",0.185185185185185,0.555555555555556,NA
"808","sulu","mbaragane","maswa.dc","simiyu","sulu","sulu","Lalago","Maswa DC","simiyu","sulu-sulu",0.185185185185185,0,NA
"809","sululu","signal","ifakara.tc","morogoro","sulu","sulu","Lalago","Maswa DC","simiyu","sulu-sulu",0.166666666666667,0.569444444444445,NA
"810","sumabwanga","sumabwanga","sumbawanga.dc","rukwa","sumbawanga","nhc","Mazwi","Sumbawanga MC","rukwa","sumbawanga-nhc",0.128571428571429,0,NA
"811","sumaha","sumaha","kwimba.dc","mwanza","suma","suma","Suma","Rungwe DC","mbeya","suma-suma",0.203703703703704,0.422222222222222,NA
"812","sumbawanga","kantalamba","sumbawanga.dc","rukwa","sumbawanga","nhc","Mazwi","Sumbawanga MC","rukwa","sumbawanga-nhc",0.0952380952380952,0,NA
"813","sumbawanga","maswi","sumbawanga.dc","rukwa","sumbawanga","nhc","Mazwi","Sumbawanga MC","rukwa","sumbawanga-nhc",0.0952380952380952,0,NA
"814","sunsula","sunsula","bariadi.dc","simiyu","sunzula","sunzula","Mbita","Itilima DC","simiyu","sunzula-sunzula",0.273015873015873,0,NA
"815","tabora","tabora","tabora.mc","tabora","itambo","itambo","Mfriga","Njombe DC","njombe","itambo-itambo",0.260683760683761,0.611111111111111,NA
"816","tabora","tabora","tabora.mc","tabora","mtambo","mtambo","Litapunga","Nsimbo DC","katavi","mtambo-mtambo",0.260683760683761,0.444444444444445,NA
"817","tanga","tanga","malinyi.dc","morogoro","tanga","tanga","Tanga","Songea MC","ruvuma","tanga-tanga",0.181818181818182,0.569444444444445,NA
"818","tanga","tanga","malinyi.dc","morogoro","tanga","tanga","Ngoheranga","Malinyi DC","morogoro","tanga-tanga",0.181818181818182,0,NA
"819","tanga","tanga","malinyi.dc","morogoro","tanga","bombo","Central","Tanga CC","tanga","tanga-bombo",0.181818181818182,0.558333333333333,NA
"820","tanga.kilwa","zinga","kilwa.dc","lindi","itwaga","itwaga","Mgama","Iringa DC","iringa","itwaga-itwaga",0.275058275058275,0.411111111111111,NA
"821","tatumbila","tatumbila","nkasi.dc","rukwa","ntatumbila","kisala","Namanyere","Nkasi DC","rukwa","ntatumbila-kisala",0.156862745098039,0,NA
"822","tegeta","tegeta","kinondoni.mc","dar.es.salaam","tegeta","tegeta","Kunduchi","Kinondoni MC","dar es salaam","tegeta-tegeta",0.17948717948718,0.102564102564103,NA
"823","tulindane","tulindane","newala.dc","mtwara","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.227920227920228,0,NA
"824","tulindane","tulindane","newala.dc","mtwara","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.227920227920228,0,NA
"825","tuliza.moyo","milola","ulanga.dc","morogoro","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.260780885780886,0.472222222222222,NA
"826","tuliza.moyo","milola","ulanga.dc","morogoro","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.260780885780886,0.472222222222222,NA
"827","tulizamoyo.igumbiro","milola","ulanga.dc","morogoro","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.301484480431849,0.472222222222222,NA
"828","tulizamoyo.igumbiro","milola","ulanga.dc","morogoro","tulizo","nangoo","Nanganga","Masasi DC","mtwara","tulizo-nangoo",0.301484480431849,0.472222222222222,NA
"829","tumaini","itenka","tumaini","tumaini","tumaini","ccm","Mjini","Songea MC","ruvuma","tumaini-ccm",0.121212121212121,0.357142857142857,NA
"830","tumaini","itenka","tumaini","tumaini","tumaini","ccm","Mjini","Songea MC","ruvuma","tumaini-ccm",0.121212121212121,0.357142857142857,NA
"831","tunduma","mwaka","momba.dc","songwe","tunduma","majengo c","Majengo","Tunduma TC","songwe","tunduma-majengo c",0.196078431372549,0,NA
"832","tunduma","sogea","songwe.dc","songwe","tunduma","majengo c","Majengo","Tunduma TC","songwe","tunduma-majengo c",0.196078431372549,0,NA
"833","tunduma","tunduma","momba.dc","songwe","tunduma","majengo c","Majengo","Tunduma TC","songwe","tunduma-majengo c",0.196078431372549,0,NA
"834","tunduru","tunduru","tunduru.dc","ruvuma","tunduru","kalanje","Majengo","Tunduru DC","ruvuma","tunduru-kalanje",0.177777777777778,0,NA
"835","tunduru","tunduru","tunduru.dc","ruvuma","tunduru","kalanje","Majengo","Tunduru DC","ruvuma","tunduru-kalanje",0.177777777777778,0,NA
"836","tunduru","tunduru","tunduru.dc","ruvuma","tunduru","kalanje","Majengo","Tunduru DC","ruvuma","tunduru-kalanje",0.177777777777778,0,NA
"837","tupendane","tulindane","newala.dc","mtwara","tupendane","tupendane","Mang'onyi","Ikungi DC","singida","tupendane-tupendane",0.175438596491228,0.563492063492063,NA
"838","turiani","turiani","mvomero.dc","morogoro","turiani","not set","Not set","Mvomero DC","morogoro","turiani-not set",0.177777777777778,0,NA
"839","udimaa","kintinku","bahi.dc","dodoma","uzima","kaswa","Milambo","Kaliua DC","tabora","uzima-kaswa",0.237373737373737,0.444444444444445,NA
"840","udimaa","kintinku","bahi.dc","dodoma","uzima","kaswa","Milambo","Kaliua DC","tabora","uzima-kaswa",0.237373737373737,0.444444444444445,NA
"841","udui","udui","bariadi.dc","simiyu","budushi","budushi","Budushi","Nzega DC","tabora","budushi-budushi",0.244444444444444,1,NA
"842","udui","udui","bariadi.dc","simiyu","bunduki","bunduki","Bunduki","Mvomero DC","morogoro","bunduki-bunduki",0.244444444444444,0.569444444444445,NA
"843","ugoda","lugoda","mufindi.dc","iringa","trust god","kakola","Bulyanhulu","Msalala DC","shinyanga","trust god-kakola",0.229166666666667,0.37962962962963,NA
"844","uhenga","uhenga","wanging.ombe.dc","njombe","uhenga","uhenga","Saja","Wanging'ombe DC","njombe","uhenga-uhenga",0.17948717948718,0,NA
"845","uingo","kabale","misungwi.dc","mwanza","lufingo","kalalo","Lufingo","Rungwe DC","mbeya","lufingo-kalalo",0.214285714285714,0.422222222222222,NA
"846","uingo","kabale","misungwi.dc","mwanza","ubinga","not set","Muhugi","Nzega DC","tabora","ubinga-not set",0.214285714285714,0.444444444444445,NA
"847","ukombozi","nkung.ungu","chunya.dc","mbeya","ukombozi","matosa","Goba","Ubungo MC","dar es salaam","ukombozi-matosa",0.155555555555556,0.648717948717949,NA
"848","ukombozi","nkung.ungu","chunya.dc","mbeya","ukombozi","balili","Balili","Bunda TC","mara","ukombozi-balili",0.155555555555556,0.366666666666667,NA
"849","ukombozi","nkung.ungu","chunya.dc","mbeya","ukombozi","matosa","Goba","Ubungo MC","dar es salaam","ukombozi-matosa",0.155555555555556,0.648717948717949,NA
"850","ukombozi","nkung.ungu","chunya.dc","mbeya","ukombozi","balili","Balili","Bunda TC","mara","ukombozi-balili",0.155555555555556,0.366666666666667,NA
"851","ukwangu","upendo","chunya.dc","mbeya","bukwangu","bukwangu","Ntobo","Msalala DC","shinyanga","bukwangu-bukwangu",0.196078431372549,0.459259259259259,NA
"852","ululu","idiwili","mbozi.dc","songwe","lufu","lufu","Lufu","Mpwapwa DC","dodoma","lufu-lufu",0.214814814814815,0.555555555555556,NA
"853","ulwilaulwila","ulwilaulwila","nsimbo.dc","katavi","ilula","ilula","Ilula","Kwimba DC","mwanza","ilula-ilula",0.152525252525253,0.444444444444445,NA
"854","upanga","silabu","masasi.dc","mtwara","lupanga","lupanga","Lupanga","Ludewa DC","njombe","lupanga-lupanga",0.2,1,NA
"855","upendo","upendo","chunya.dc","mbeya","upendo","janga","Janga","Kibaha DC","pwani","upendo-janga",0.166666666666667,1,NA
"856","upendo","upendo","chunya.dc","mbeya","upendo","janga","Janga","Kibaha DC","pwani","upendo-janga",0.166666666666667,1,NA
"857","uponera.ibuyu","uponera","ulanga.dc","morogoro","hope","ruaha mbuyuni","Ruaha Mbuyuni","Kilolo DC","iringa","hope-ruaha mbuyuni",0.291737891737892,0.472222222222222,NA
"858","uponera.ibuyu","uponera","ulanga.dc","morogoro","hope","ruaha mbuyuni","Ruaha Mbuyuni","Kilolo DC","iringa","hope-ruaha mbuyuni",0.291737891737892,0.472222222222222,NA
"859","urulu","idiwili","mbozi.dc","songwe","duru","duru","Duru","Babati DC","manyara","duru-duru",0.251851851851852,0.563492063492063,NA
"860","ushirika","mahango","mbarali.dc","mbeya","ushirika","ushirika","Ushirika","Mbogwe DC","geita","ushirika-ushirika",0.176470588235294,0.4,NA
"861","utende","mamba.moja","mlele.dc","katavi","utende","utende","Utende","Mlele DC","katavi","utende-utende",0.17948717948718,0,NA
"862","uwanja.fisi","napupa","masasi.dc","mtwara","ruanda","matiri","Matiri","Mbinga DC","ruvuma","ruanda-matiri",0.331002331002331,0.555555555555556,NA
"863","uwanja.fisi","napupa","masasi.dc","mtwara","bulwa","misilai","Misalai","Muheza DC","tanga","bulwa-misilai",0.331002331002331,0.3,NA
"864","uwanja.wa.fisi","napupa","masasi.dc","mtwara","wasa","wasa","Wasa","Iringa DC","iringa","wasa-wasa",0.301587301587302,0.555555555555556,NA
"865","uwanja.wa.fisi","wapiwapi","masasi.dc","mtwara","wasa","wasa","Wasa","Iringa DC","iringa","wasa-wasa",0.301587301587302,0.555555555555556,NA
"866","viwanja.sitini","viwanja.sitini","ifakara.tc","morogoro","happy","viwanja sitini","Viwanja Sitini","Ifakara TC","morogoro","happy-viwanja sitini",0.23021978021978,0,NA
"867","viwanja.sitini","viwanja.sitini","ifakara.tc","morogoro","happy","viwanja sitini","Viwanja Sitini","Ifakara TC","morogoro","happy-viwanja sitini",0.23021978021978,0,NA
"868","viwanjasitini.nyumbani","viwanjasitini","ifakara.tc","morogoro","niko","viwanja sitini","Viwanja Sitini","Ifakara TC","morogoro","niko-viwanja sitini",0.287347155768208,0,NA
"869","wala","suma","kwimba.dc","mwanza","kwala","kwala","Kwala","Kibaha DC","pwani","kwala-kwala",0.212121212121212,0.3,NA
"870","wala","sumaha","kwimba.dc","mwanza","kwala","kwala","Kwala","Kibaha DC","pwani","kwala-kwala",0.212121212121212,0.3,NA
"871","wami.sokoine","dakawa","mvomero.dc","morogoro","hamu","sokoni","Njoro","Moshi MC","kilimanjaro","hamu-sokoni",0.243686868686869,0.450757575757576,NA
"872","wami.sokoine","dakawa","mvomero.dc","morogoro","hamu","sokoni","Njoro","Moshi MC","kilimanjaro","hamu-sokoni",0.243686868686869,0.450757575757576,NA
"873","wapiwapi","napupa","masasi.dc","mtwara","kwai","kwai","Kwai","Lushoto DC","tanga","kwai-kwai",0.194444444444445,0.3,NA
"874","wapiwapi","silabu","masasi.dc","mtwara","kwai","kwai","Kwai","Lushoto DC","tanga","kwai-kwai",0.194444444444445,0.3,NA
"875","zinga.kibaoni","zinga","kilwa.dc","lindi","zinga kibaoni","zingakibaoni","Miguruwe","Kilwa DC","lindi","zinga kibaoni-zingakibaoni",0.205128205128205,0,NA
"876","zingakibaoni","zingakibaoni","kilwa.dc","lindi","zinga kibaoni","zingakibaoni","Miguruwe","Kilwa DC","lindi","zinga kibaoni-zingakibaoni",0.17948717948718,0,NA
