"","place","ward.A","dist.A","reg.A","Facility_N","Village_St","ward.X","dist.X","reg.X","place.X","place.dist","reg.A.dist","dist"
"636","mwaya.nyumbani.na.wengine.mnada.wa.lukande","kata.ya.mwaya.na.kata.ya.lukande","ulanga.dc","morogoro","mwanambaya","mwanambaya","Tambani","Mkuranga DC","pwani","mwanambaya-mwanambaya",0.330687830687831,1,NA
"637","mweniemba","mkuru","momba.dc","songwe","menonite","muleba","Muleba","Muleba DC","kagera","menonite-muleba",0.192592592592593,0.444444444444445,NA
"638","mweniemba","mkuru","momba.dc","songwe","menonite","muleba","Muleba","Muleba DC","kagera","menonite-muleba",0.192592592592593,0.444444444444445,NA
"639","mwese","mwese","tanganyika","tanganyika","mwese","mwese","Mwese","Mpanda DC","katavi","mwese-mwese",0.181818181818182,0.394444444444444,NA
"640","mwiji","mwiji","chunya.dc","mbeya","mwime","mwime","Mwendakulima","Kahama TC","shinyanga","mwime-mwime",0.278787878787879,0.459259259259259,NA
"641","mwiji","mwiji","chunya.dc","mbeya","mwisi","mwisi","Lighwa","Ikungi DC","singida","mwisi-mwisi",0.278787878787879,0.552380952380952,NA
"642","myula","myula","nkasi.dc","rukwa","myula","myula","Kate","Nkasi DC","rukwa","myula-myula",0.181818181818182,0,NA
"643","mzia","mzia","mvomero.dc","morogoro","mziha","mziha","Kanga","Mvomero DC","morogoro","mziha-mziha",0.212121212121212,0,NA
"644","mziha","mziha","mvomero.dc","morogoro","mziha","mziha","Kanga","Mvomero DC","morogoro","mziha-mziha",0.181818181818182,0,NA
"645","mziha.kwakonji","mziha","mvomero.dc","morogoro","kishamba","sokoni","Majengo","Moshi MC","kilimanjaro","kishamba-sokoni",0.273015873015873,0.450757575757576,NA
"646","mziha.kwakonji","mziha","mvomero.dc","morogoro","kishamba","sokoni","Majengo","Moshi MC","kilimanjaro","kishamba-sokoni",0.273015873015873,0.450757575757576,NA
"647","mziha.nyumbani","mziha","mvomero.dc","morogoro","mbugani","mbugani","Mbugani","Chunya DC","mbeya","mbugani-mbugani",0.23968253968254,0.558333333333333,NA
"648","mziha.nyumbani","mziha","mvomero.dc","morogoro","mbugani","mbugani","Kitandililo","Makambako TC","njombe","mbugani-mbugani",0.23968253968254,0.638888888888889,NA
"649","mziha.nyumbani","mziha","mvomero.dc","morogoro","mbulani","mbulani","Panzuo","Mkuranga DC","pwani","mbulani-mbulani",0.23968253968254,1,NA
"650","mzogole","mpinga","bahi.dc","dodoma","mzogole","kigwe","Kigwe","Bahi DC","dodoma","mzogole-kigwe",0.153846153846154,0,NA
"651","n.gwang.wale","kamondo","bariadi.tc","simiyu","kongwa","kongwa","Mvuha","Morogoro DC","morogoro","kongwa-kongwa",0.239316239316239,0.569444444444445,NA
"652","n.gwang.wale","kamondo","bariadi.tc","simiyu","nyugwa","nyugwa","Nyugwa","Nyang'hwale DC","geita","nyugwa-nyugwa",0.239316239316239,0.544444444444445,NA
"653","n.gwang.wale","kamondo","bariadi.tc","simiyu","kongwa","kongwa","Kongwa","Kongwa DC","dodoma","kongwa-kongwa",0.239316239316239,0.555555555555556,NA
"654","n.gwang.wale","kamondo","bariadi.tc","simiyu","songwa","songwa","Songwa","Kishapu DC","shinyanga","songwa-songwa",0.239316239316239,0.388888888888889,NA
"655","nachingwea","nachingwea","nachingwea.dc","lindi","nachingwea","not set","Ugawaji","Nachingwea DC","lindi","nachingwea-not set",0.148148148148148,0,NA
"656","nairombo","nairombo","masasi.dc","mtwara","natiro","tema","Mbokomu","Moshi DC","kilimanjaro","natiro-tema",0.234848484848485,0.409090909090909,NA
"657","nairombo","nairombo","masasi.dc","mtwara","natiro","tema","Mbokomu","Moshi DC","kilimanjaro","natiro-tema",0.234848484848485,0.409090909090909,NA
"658","nakarara","makong.onda","masasi.dc","mtwara","nyakahoja","nera","Isamilo","Nyamagana MC","mwanza","nyakahoja-nera",0.208333333333333,0.222222222222222,NA
"659","nakarara","makong.onda","masasi.dc","mtwara","nyakahoja","nera","Isamilo","Nyamagana MC","mwanza","nyakahoja-nera",0.208333333333333,0.222222222222222,NA
"660","nakarara","nakarara","masasi.dc","mtwara","nyakahoja","nera","Isamilo","Nyamagana MC","mwanza","nyakahoja-nera",0.208333333333333,0.222222222222222,NA
"661","nakarara","nakarara","masasi.dc","mtwara","nyakahoja","nera","Isamilo","Nyamagana MC","mwanza","nyakahoja-nera",0.208333333333333,0.222222222222222,NA
"662","namanyere","isunta","nkasi.dc","rukwa","namanyere","ilegeza","Namanyere","Nkasi DC","rukwa","namanyere-ilegeza",0.156862745098039,0,NA
"663","namatumbusi","namatumbusi","nachingwea.dc","lindi","namatumbusi","namatumbisi","Naipingo","Nachingwea DC","lindi","namatumbusi-namatumbisi",0.173913043478261,0,NA
"664","namatumbusi.nachingwea.nahoro.liwale.namajani.masasi","nang.ondo","nachingwea.dc","lindi","namangale","namangale","Namangwale","Lindi DC","lindi","namangale-namangale",0.328074144637612,0,NA
"665","namatumbuzi","namatumbusi","nachingwea.dc","lindi","namatumbusi","namatumbisi","Naipingo","Nachingwea DC","lindi","namatumbusi-namatumbisi",0.21870882740448,0,NA
"666","nambunda","mijejele","masasi.dc","mtwara","nyambunda","nyambunda","Bungu","Kibiti DC","pwani","nyambunda-nyambunda",0.192982456140351,0.422222222222222,NA
"667","nambunda","mijelejele","masasi.dc","mtwara","nyambunda","nyambunda","Bungu","Kibiti DC","pwani","nyambunda-nyambunda",0.192982456140351,0.422222222222222,NA
"668","namwawala","namwawala","malinyi.dc","morogoro","ngeta","mtawala","Mwembesongo","Morogoro MC","morogoro","ngeta-mtawala",0.165242165242165,0,NA
"669","namwawala","namwawala","malinyi.dc","morogoro","ngeta","mtawala","Mwembesongo","Morogoro MC","morogoro","ngeta-mtawala",0.165242165242165,0,NA
"670","namwawala","namwawala","mlimba","mlimba","ngeta","mtawala","Mwembesongo","Morogoro MC","morogoro","ngeta-mtawala",0.165242165242165,0.569444444444445,NA
"671","namwawala","namwawala","mlimba","mlimba","ngeta","mtawala","Mwembesongo","Morogoro MC","morogoro","ngeta-mtawala",0.165242165242165,0.569444444444445,NA
"672","nandangala","nandagala","rungwe.dc","mbeya","ngana","ngana","Ngana","Kyela DC","mbeya","ngana-ngana",0.157575757575758,0,NA
"673","nangoo","nangoo","masasi.dc","mtwara","kinango","yichobela","Nyigogo","Magu DC","mwanza","kinango-yichobela",0.215686274509804,0.222222222222222,NA
"674","nangoo","nangoo","masasi.dc","mtwara","nangombo","nangombo","Kilosa","Nyasa DC","ruvuma","nangombo-nangombo",0.215686274509804,0.555555555555556,NA
"675","nangoo","nangoo","masasi.dc","mtwara","nyangoto","nyangoto","Matongo","Tarime DC","mara","nyangoto-nyangoto",0.215686274509804,0.111111111111111,NA
"676","nangoo","nangoo","masasi.dc","mtwara","nangombo","nangombo","Kilosa","Nyasa DC","ruvuma","nangombo-nangombo",0.215686274509804,0.555555555555556,NA
"677","nangwala","nangwala","newala.dc","mtwara","nangwa","nangwa","Nangwa","Hanang DC","manyara","nangwa-nangwa",0.195512820512821,0.337301587301587,NA
"678","nangwala","nangwala","newala.dc","mtwara","nangwa","nangwa","Nangwa","Hanang DC","manyara","nangwa-nangwa",0.195512820512821,0.337301587301587,NA
"679","nanji.igumbilo","milola","ulanga.dc","morogoro","nuraifo","mbezi luis","Mbezi","Ubungo MC","dar es salaam","nuraifo-mbezi luis",0.31005291005291,0.599358974358974,NA
"680","nanji.igumbilo","milola","ulanga.dc","morogoro","nuraifo","mbezi luis","Mbezi","Ubungo MC","dar es salaam","nuraifo-mbezi luis",0.31005291005291,0.599358974358974,NA
"681","nanyumbu.masasi.mjini.maparawe","nanyumbu.napupa.mchauru","masasi.nanyumbu","masasi.nanyumbu","nansama","namsama","Isansa","Mbozi DC","songwe","nansama-namsama",0.295238095238095,0.511111111111111,NA
"682","nanyumbu.tabora.mbeya.sumbawanga","nanyumbu.mbeya.sumbawanga.tabora","nanyumbu.mbeya.tabora.sumbawanga","nanyumbu.mbeya.tabora.sumbawanga","mwanambaya","mwanambaya","Tambani","Mkuranga DC","pwani","mwanambaya-mwanambaya",0.288369514472456,0.679166666666667,NA
"683","napupa","napupa","masasi.dc","mtwara","lupa","lupa","Lupatingatinga","Chunya DC","mbeya","lupa-lupa",0.27037037037037,0.422222222222222,NA
"684","nasa","nyashimo","busega.dc","simiyu","nyasa","nyasa","Seleli","Kaliua DC","tabora","nyasa-nyasa",0.212121212121212,1,NA
"685","nasa","nyashimo","busega.dc","simiyu","nzasa","nzasa","Chihanga","Dodoma MC","dodoma","nzasa-nzasa",0.212121212121212,0.555555555555556,NA
