"","place","ward.A","pwd.A","wdr.A","dist.A","ward.B","dist.B","reg.B","wdr.B","acceptWDR"
"31","bunamhala.mbugani","nyamalapa","bunamhala.mbugani-nyamalapa-itilima.dc","nyamalapa-itilima.dc-simiyu","itilima.dc","nyamalapa","itilima.dc","simiyu","nyamalapa-itilima.dc-simiyu","acceptWDR0"
"32","bungulwa","bungulwa","bungulwa-bungulwa-kwimba.dc","bungulwa-kwimba.dc-mwanza","kwimba.dc","bungulwa","kwimba.dc","mwanza","bungulwa-kwimba.dc-mwanza","acceptWDR0"
"33","bungulwa","nhundi","bungulwa-nhundi-kwimba.dc","nhundi-kwimba.dc-mwanza","kwimba.dc","ng.hundi","kwimba.dc","mwanza","ng.hundi-kwimba.dc-mwanza","acceptWDR2"
"34","bupandagila","nyakabindi","bupandagila-nyakabindi-bariadi.tc","nyakabindi-bariadi.tc-simiyu","bariadi.tc","nyakabindi","bariadi.tc","simiyu","nyakabindi-bariadi.tc-simiyu","acceptWDR0"
"35","bushigwamara","kalemala","bushigwamara-kalemala-busega.dc","kalemala-busega.dc-simiyu","busega.dc","kalemela","busega.dc","simiyu","kalemela-busega.dc-simiyu","acceptWDR2"
"36","bushitara","busilili","bushitara-busilili-maswa.dc","busilili-maswa.dc-simiyu","maswa.dc","busilili","maswa.dc","simiyu","busilili-maswa.dc-simiyu","acceptWDR0"
"37","busulwe","lyoma","busulwe-lyoma-kwimba.dc","lyoma-kwimba.dc-mwanza","kwimba.dc","lyoma","kwimba.dc","mwanza","lyoma-kwimba.dc-mwanza","acceptWDR0"
"38","butu","ngoheranga","butu-ngoheranga-malinyi.dc","ngoheranga-malinyi.dc-morogoro","malinyi.dc","ngoheranga","malinyi.dc","morogoro","ngoheranga-malinyi.dc-morogoro","acceptWDR0"
"39","buzunza","kidinda","buzunza-kidinda-bariadi.tc","kidinda-bariadi.tc-simiyu","bariadi.tc","isanga","bariadi.tc","simiyu","isanga-bariadi.tc-simiyu","acceptWDR2"
"40","bwage","mzia","bwage-mzia-mvomero.dc","mzia-mvomero.dc-morogoro","mvomero.dc","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc-morogoro","acceptWDR2"
"41","bwage","mziha","bwage-mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mvomero.dc","mhonda","mvomero.dc","morogoro","mhonda-mvomero.dc-morogoro","acceptWDR2"
"42","bwage","mziha","bwage-mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mvomero.dc","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc-morogoro","acceptWDR2"
"43","bwage.nyumbani","kanga","bwage.nyumbani-kanga-mvomero.dc","kanga-mvomero.dc-morogoro","mvomero.dc","kanga","mvomero.dc","morogoro","kanga-mvomero.dc-morogoro","acceptWDR0"
"44","bwage.nyumbani","mziha","bwage.nyumbani-mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mvomero.dc","mhonda","mvomero.dc","morogoro","mhonda-mvomero.dc-morogoro","acceptWDR2"
"45","bwage.nyumbani","mziha","bwage.nyumbani-mziha-mvomero.dc","mziha-mvomero.dc-morogoro","mvomero.dc","mtibwa","mvomero.dc","morogoro","mtibwa-mvomero.dc-morogoro","acceptWDR2"
"46","bwawani","chikopelo","bwawani-chikopelo-bahi.dc","chikopelo-bahi.dc-dodoma","bahi.dc","chikola","bahi.dc","dodoma","chikola-bahi.dc-dodoma","acceptWDR2"
"47","bwawani","kiberenge","bwawani-kiberenge-ifakara.tc","kiberenge-ifakara.tc-morogoro","ifakara.tc","kibaoni","ifakara.tc","morogoro","kibaoni-ifakara.tc-morogoro","acceptWDR2"
"48","byuna","mwadobana","byuna-mwadobana-bariadi.dc","mwadobana-bariadi.dc-simiyu","bariadi.dc","madobana","bariadi.dc","simiyu","madobana-bariadi.dc-simiyu","acceptWDR2"
