"fid","country","region.geomatch.final","district.geomatch.final","ward.geomatch.final","village.manual.final","market.manual.final","reg.ward.mrkt.final","gps.coordinates.of.the.market","unique.row.identifier.uuid."
1155719,6,"mtwara","mtwara.urban","naliendele","mwenge","mwenge","mtwara-naliendele-mwenge","-10.3655329 40.1675682 153.7 5.0","8312b7c0-e05b-11ec-9416-9440c9ab47f0"
1155787,6,"mtwara","masasi.township.authority","jida","mtandi.b","mtandi","mtwara-jida-mtandi","-10.7177235 38.8282873 381.2 4.14","832c5548-e05b-11ec-9416-9440c9ab47f0"
1155788,6,"mtwara","nanyumbu","nanyumbu","maneme","nanyumbu","mtwara-nanyumbu-nanyumbu","-11.1417145 38.4928857 270.0 5.0","82df9ef1-e05b-11ec-9416-9440c9ab47f0"
1156283,6,"morogoro","mvomero","kanga","mziha","mziha","morogoro-kanga-mziha","-5.9081153 37.7818555 424.8910042061635 4.873","82baca02-e05b-11ec-9416-9440c9ab47f0"
1156399,6,"dodoma","bahi","zanka","mayamaya","mayamaya","dodoma-zanka-mayamaya","-5.8180745 35.8020788 1103.13826831017 4.4","b09fc40f-e124-11ec-9416-9440c9ab47f0"
1156578,6,"katavi","mlele","itenka","itenka.a","itenka","katavi-itenka-itenka","-6.4939355 30.9955562 997.3424979566549 4.8","b106f214-e124-11ec-9416-9440c9ab47f0"
1156594,6,"katavi","mlele","mamba","kilda.kona","kilda.kona","katavi-mamba-kilda.kona","-7.4317758 31.3842168 868.4329451951146 4.0","b24ac1ff-e124-11ec-9416-9440c9ab47f0"
1156644,6,"morogoro","kilosa","rudewa","gongoni","gongoni","morogoro-rudewa-gongoni","-6.6450717 37.1520417 443.1 3.9","b191287a-e124-11ec-9416-9440c9ab47f0"
1156804,6,"rukwa","sumbawanga","kipeta","kilyamatundu","kilyamatundu","rukwa-kipeta-kilyamatundu","-8.3466513 32.2800652 832.7678499740232 4.444","dc9a920d-e1ed-11ec-9416-9440c9ab47f0"
1156842,6,"mtwara","masasi.township.authority","marika","mumbaka","mumbaka","mtwara-marika-mumbaka","-10.8394261 38.9195289 306.8 4.35","dbb52907-e1ed-11ec-9416-9440c9ab47f0"
1157046,6,"iringa","mufindi","ihowanza","ihowanza","ihowanza","iringa-ihowanza-ihowanza","-8.577295 34.7650505 1385.6171502014622 5.0","e3ba1159-eb5b-11ec-9416-9440c9ab47f0"
1157180,6,"rukwa","nkasi","nkomolo","isunta","isunta","rukwa-nkomolo-isunta","-7.4863071 31.0558712 1538.6081938882564 4.0","08257200-e2b7-11ec-9416-9440c9ab47f0"
1157393,6,"mtwara","masasi.township.authority","migongo","nangaya","nangaya","mtwara-migongo-nangaya","-10.7145123 38.795609 381.11968994140625 4.58","07c8c6f5-e2b7-11ec-9416-9440c9ab47f0"
1157394,6,"mtwara","masasi.township.authority","mkuti","madeco","madeco","mtwara-mkuti-madeco","-10.7296017 38.8162751 375.3988037109375 4.716","07957888-e2b7-11ec-9416-9440c9ab47f0"
1157395,6,"mtwara","masasi","chiungutwa","chiungutwa","chiungutwa","mtwara-chiungutwa-chiungutwa","-10.8934518 38.987719 230.076416015625 4.561","078eff44-e2b7-11ec-9416-9440c9ab47f0"
1157529,6,"morogoro","ulanga","minepa","mbuyuni","mbuyuni","morogoro-minepa-mbuyuni","-8.2398367 36.6833767 215.06686133284956 4.1","08a9d597-e2b7-11ec-9416-9440c9ab47f0"
1157687,6,"dodoma","bahi","bahi","bahi.sokoni","bahi","dodoma-bahi-bahi","-5.9624894 35.334974 836.6556481038064 5.0","31941180-e380-11ec-9416-9440c9ab47f0"
1157708,6,"katavi","mpanda","kabungu","minyagala","minyagala","katavi-kabungu-minyagala","-6.417779 30.7914399 1026.6599661164819 4.8","31593dd0-e380-11ec-9416-9440c9ab47f0"
1157970,6,"songwe","momba","ivuna","ntungwa","mbao","songwe-ivuna-mbao","-8.5474375 32.4585168 964.2937461761758 5.0","e3db98d7-eb5b-11ec-9416-9440c9ab47f0"
1157987,6,"iringa","iringa","itunundu","kimande","kimande","iringa-itunundu-kimande","-7.3660081 35.4864831 986.4152071885765 5.0","e3e73038-eb5b-11ec-9416-9440c9ab47f0"
1158102,6,"mtwara","masasi","nanjota","nanjota","nanjota","mtwara-nanjota-nanjota","-10.820619 38.9761502 307.0 4.36","5cf6c793-e449-11ec-9416-9440c9ab47f0"
1158215,6,"morogoro","kilombero","idete","idandu","kikurukutu","morogoro-idete-kikurukutu","-8.1735732 36.3908104 245.8944091796875 4.288","5cbf6b9f-e449-11ec-9416-9440c9ab47f0"
1158308,6,"mbeya","mbarali","rujewa","ihanga","rujewa","mbeya-rujewa-rujewa","-8.7168037 34.3909631 1068.0594060355797 5.0","5c287d35-e449-11ec-9416-9440c9ab47f0"
1158461,6,"katavi","mlele","kibaoni","kibaoni","kibaoni","katavi-kibaoni-kibaoni","-7.1153872 31.1714705 961.2 4.55","870309f5-e512-11ec-9416-9440c9ab47f0"
1158600,6,"dodoma","bahi","mundemu","mundemu","mundemu","dodoma-mundemu-mundemu","-5.9299971 35.6778646 1124.8728903331437 4.8","85e28ff6-e512-11ec-9416-9440c9ab47f0"
1158924,6,"mtwara","masasi","mnavira","nakarara","makong.onda","mtwara-mnavira-makong.onda","-11.0164945 39.2319285 241.0 4.833","86625219-e512-11ec-9416-9440c9ab47f0"
1159027,6,"mtwara","masasi","mchauru","mchauru","mchauru","mtwara-mchauru-mchauru","-11.0281082 39.160235 169.26971435546875 3.9","b14c7fa8-e5db-11ec-9416-9440c9ab47f0"
1159230,6,"njombe","wanging.ombe","wanging.ombe","wanging.ombe","wanging.ombe","njombe-wanging.ombe-wanging.ombe","-8.8521811 34.6428671 1415.5339352684096 5.0","b1287ee9-e5db-11ec-9416-9440c9ab47f0"
1159272,6,"mtwara","masasi","namalenga","nagaga","namalenga","mtwara-namalenga-namalenga","-10.9013394 39.1108574 335.4 4.96","b147523b-e5db-11ec-9416-9440c9ab47f0"
1159301,6,"morogoro","kilombero","mofu","miyomboni","mofu","morogoro-mofu-mofu","-8.2765794 36.3240707 244.8209228515625 4.744","afcd2e43-e5db-11ec-9416-9440c9ab47f0"
1159341,6,"mtwara","masasi","mkundi","majembe","mkundi","mtwara-mkundi-mkundi","-10.7383764 39.1197694 392.0 5.0","b0d48f2e-e5db-11ec-9416-9440c9ab47f0"
