"place","ward.A","ward.B","ward.A.dist","wdr.A","wdr.B"
"lupa.tingatinga","lupa","lupatingatinga",0.238095238095238,"lupa-chunya.dc-mbeya","lupatingatinga-chunya.dc-mbeya"
"lupa.tingatinga","lupa.tingatinga","lupatingatinga",0.0222222222222221,"lupa.tingatinga-chunya.dc-mbeya","lupatingatinga-chunya.dc-mbeya"
"lupaso","lupaso","nanjota",0.46031746031746,"lupaso-masasi.dc-mtwara","nanjota-masasi.dc-mtwara"
"lupaso","lupaso","sindano",0.46031746031746,"lupaso-masasi.dc-mtwara","sindano-masasi.dc-mtwara"
"lupaso","lupaso","lulindi",0.46031746031746,"lupaso-masasi.dc-mtwara","lulindi-masasi.dc-mtwara"
"lupemenda","igawa","kilosa.kwa.mpepo",0.316666666666667,"igawa-malinyi.dc-morogoro","kilosa.kwa.mpepo-malinyi.dc-morogoro"
"lupunga","lupunga","ngoheranga",0.423809523809524,"lupunga-malinyi.dc-morogoro","ngoheranga-malinyi.dc-morogoro"
"lusonje","mkururu","mkululu",0.19047619047619,"mkururu-masasi.dc-mtwara","mkululu-masasi.dc-mtwara"
"lutubiga","mwasamba","ngasamo",0.30952380952381,"mwasamba-busega.dc-simiyu","ngasamo-busega.dc-simiyu"
"mabambasi","mabambasi","mamba",0.248148148148148,"mabambasi-mpimbwe.dc-katavi","mamba-mpimbwe.dc-katavi"
"mabola","nkunguru","nkungulu",0.0833333333333334,"nkunguru-magu.dc-mwanza","nkungulu-magu.dc-mwanza"
"machombe","machombe","chiwale",0.43452380952381,"machombe-masasi.dc-mtwara","chiwale-masasi.dc-mtwara"
"machombe","machombe","mchauru",0.43452380952381,"machombe-masasi.dc-mtwara","mchauru-masasi.dc-mtwara"
"madabadaba","minazini","malinyi",0.320238095238095,"minazini-malinyi.dc-morogoro","malinyi-malinyi.dc-morogoro"
"madizini","mziha","mhonda",0.3,"mziha-mvomero.dc-morogoro","mhonda-mvomero.dc-morogoro"
"madizini","mziha","mtibwa",0.3,"mziha-mvomero.dc-morogoro","mtibwa-mvomero.dc-morogoro"
"madukani","lipangalala","ifakara",0.354978354978355,"lipangalala-ifakara.tc-morogoro","ifakara-ifakara.tc-morogoro"
"mafinga","mafinga","mninga",0.150793650793651,"mafinga-mufindi.dc-iringa","mninga-mufindi.dc-iringa"
"mafinga","mafinga","mpanga",0.150793650793651,"mafinga-mufindi.dc-iringa","mpanga-mufindi.dc-iringa"
"mafuluto","mafuluto","maguliwa",0.333333333333333,"mafuluto-iringa.dc-iringa","maguliwa-iringa.dc-iringa"
"magaga","chifutuka","chikola",0.328042328042328,"chifutuka-bahi.dc-dodoma","chikola-bahi.dc-dodoma"
"magudugudu","magudugudu","manda",0.366666666666667,"magudugudu-chamwino.dc-dodoma","manda-chamwino.dc-dodoma"
"magula","magula","magamba",0.253968253968254,"magula-nsimbo.dc-katavi","magamba-nsimbo.dc-katavi"
"magunga","nkung.ungu","lupatingatinga",0.447619047619048,"nkung.ungu-chunya.dc-mbeya","lupatingatinga-chunya.dc-mbeya"
"mahaha","mahaha","mwamanga",0.277777777777778,"mahaha-magu.dc-mwanza","mwamanga-magu.dc-mwanza"
"mahango","utenguleusangu","utengule.usangu",0.0222222222222221,"utenguleusangu-mbarali.dc-mbeya","utengule.usangu-mbarali.dc-mbeya"
"maiga","mwan.galang.a","mwang.halanga",0.0790598290598291,"mwan.galang.a-kwimba.dc-mwanza","mwang.halanga-kwimba.dc-mwanza"
"mailisita","chanikanguo","chigugu",0.277056277056277,"chanikanguo-masasi.dc-mtwara","chigugu-masasi.dc-mtwara"
"majengo","nkung.ungu","lupatingatinga",0.447619047619048,"nkung.ungu-chunya.dc-mbeya","lupatingatinga-chunya.dc-mbeya"
"majengo","upendo","matundasi",0.388888888888889,"upendo-chunya.dc-mbeya","matundasi-chunya.dc-mbeya"
"majili","sasagila","sasajila",0.0833333333333334,"sasagila-manyoni.dc-singida","sasajila-manyoni.dc-singida"
"makambako","makambako","mwembetogwa",0.396632996632997,"makambako-makambako.tc-njombe","mwembetogwa-makambako.tc-njombe"
"makambako","makambako","matembwe",0.351851851851852,"makambako-njombe.dc-njombe","matembwe-njombe.dc-njombe"
"makan.gwa","makan.gwa","makang.wa",0.0370370370370371,"makan.gwa-chamwino.dc-dodoma","makang.wa-chamwino.dc-dodoma"
"makanyaga","kidatu","kibaoni",0.357142857142857,"kidatu-ifakara.tc-morogoro","kibaoni-ifakara.tc-morogoro"
"makong.onda","makong.onda","nanganga",0.373484848484849,"makong.onda-masasi.dc-mtwara","nanganga-masasi.dc-mtwara"
"makong.onda.sindano.mnavira","makong.onda","nanganga",0.373484848484849,"makong.onda-masasi.dc-mtwara","nanganga-masasi.dc-mtwara"
"makongolosi","makongolosi","makongorosi",0.0606060606060606,"makongolosi-chunya.dc-mbeya","makongorosi-chunya.dc-mbeya"
"malampka","malampka","malampaka",0.0787037037037037,"malampka-maswa.dc-simiyu","malampaka-maswa.dc-simiyu"
"malangali","upendo","matundasi",0.388888888888889,"upendo-chunya.dc-mbeya","matundasi-chunya.dc-mbeya"
"malangamilo","makongolosi","makongorosi",0.0606060606060606,"makongolosi-chunya.dc-mbeya","makongorosi-chunya.dc-mbeya"
"maleza","kate","kaoze",0.216666666666667,"kate-sumbawanga.dc-rukwa","kaoze-sumbawanga.dc-rukwa"
"maleza","kilangawana","kaengesa",0.306818181818182,"kilangawana-sumbawanga.dc-rukwa","kaengesa-sumbawanga.dc-rukwa"
"maleza","maleza","milepa",0.222222222222222,"maleza-sumbawanga.dc-rukwa","milepa-sumbawanga.dc-rukwa"
"maloto","kimamba","kimamba.a",0.0740740740740742,"kimamba-kilosa.dc-morogoro","kimamba.a-kilosa.dc-morogoro"
"maloto","kimamba","kimamba.b",0.0740740740740742,"kimamba-kilosa.dc-morogoro","kimamba.b-kilosa.dc-morogoro"
"manawa","misasi","masasi",0.177777777777778,"misasi-misungwi.dc-mwanza","masasi-misungwi.dc-mwanza"
"mandang.ombe","mbaragane","mwamanenge",0.327777777777778,"mbaragane-maswa.dc-simiyu","mwamanenge-maswa.dc-simiyu"
"mango","mango","mhango",0.0555555555555556,"mango-bariadi.dc-simiyu","mhango-bariadi.dc-simiyu"
"mapili","pwaga","inyonga",0.438095238095238,"pwaga-mlele.dc-katavi","inyonga-mlele.dc-katavi"
"masasi","chanikanguo","chigugu",0.277056277056277,"chanikanguo-masasi.dc-mtwara","chigugu-masasi.dc-mtwara"
"masasi","masasi","mpanyani",0.277777777777778,"masasi-masasi.dc-mtwara","mpanyani-masasi.dc-mtwara"
"masasi","masasi","maratani",0.277777777777778,"masasi-nanyumbu.dc-mtwara","maratani-nanyumbu.dc-mtwara"
"masasi.mjini","chipole","chiwale",0.19047619047619,"chipole-masasi.dc-mtwara","chiwale-masasi.dc-mtwara"
"masasi.mjini","napupa","nanjota",0.357142857142857,"napupa-masasi.dc-mtwara","nanjota-masasi.dc-mtwara"
"masasi.mjini","napupa","mnavira",0.357142857142857,"napupa-masasi.dc-mtwara","mnavira-masasi.dc-mtwara"
"mashete","mashete","wampembe",0.392857142857143,"mashete-nkasi.dc-rukwa","wampembe-nkasi.dc-rukwa"
"mashete","mashetw","kate",0.404761904761905,"mashetw-nkasi.dc-rukwa","kate-nkasi.dc-rukwa"
"masimba","masimba","goima",0.323809523809524,"masimba-chemba.dc-dodoma","goima-chemba.dc-dodoma"
"masinda","masinda","msaada",0.217460317460317,"masinda-chemba.dc-dodoma","msaada-chemba.dc-dodoma"
"masunguru","masunguru","masuguru",0.0370370370370371,"masunguru-nanyumbu.dc-mtwara","masuguru-nanyumbu.dc-mtwara"
"maswa","maswa","masela",0.177777777777778,"maswa-maswa.dc-simiyu","masela-maswa.dc-simiyu"
"maswa","maswa","masengwa",0.125,"maswa-shinyanga.dc-shinyanga","masengwa-shinyanga.dc-shinyanga"
"matawale","matawale","namatutwe",0.305555555555556,"matawale-masasi.dc-mtwara","namatutwe-masasi.dc-mtwara"
"matebete","itamboleo","itambaleo",0.136574074074074,"itamboleo-mbarali.dc-mbeya","itambaleo-mbarali.dc-mbeya"
