"Code","Description","Unique Row Identifier (UUID)"
"1","Senegal","72491991-bec6-11eb-81ba-3822e2cde809"
"2","Mali","72494c5d-bec6-11eb-81ba-3822e2cde809"
"3","Burkina Faso","72497fda-bec6-11eb-81ba-3822e2cde809"
"4","Kenya","7249b16f-bec6-11eb-81ba-3822e2cde809"
"5","Ethiopia","7249db50-bec6-11eb-81ba-3822e2cde809"
"6","Tanzania","724a044a-bec6-11eb-81ba-3822e2cde809"
