"Code","Description","Unique Row Identifier (UUID)"
"610101","KIBAONI","4631461b-bee5-11eb-8cbd-5cb901ddeae0"
"610102","USEVYA","46325693-bee5-11eb-8cbd-5cb901ddeae0"
"610103","IKUBA","46336934-bee5-11eb-8cbd-5cb901ddeae0"
"610104","MBEDE","46347b3b-bee5-11eb-8cbd-5cb901ddeae0"
"610105","MAMBA","46358bc2-bee5-11eb-8cbd-5cb901ddeae0"
"610106","MAJIMOTO","46369cda-bee5-11eb-8cbd-5cb901ddeae0"
"610107","MWAMAPULI","4637b007-bee5-11eb-8cbd-5cb901ddeae0"
"610108","KASANSA","4638c120-bee5-11eb-8cbd-5cb901ddeae0"
"610109","CHAMALENDI","4639d335-bee5-11eb-8cbd-5cb901ddeae0"
"610110","Inyonga","8287e855-dc09-11ec-9416-9440c9ab47f0"
"610111","Itenka","5b26dfe9-dc0d-11ec-9416-9440c9ab47f0"
"610112","Katuma","5b2a487a-dc0d-11ec-9416-9440c9ab47f0"
"610113","Sibwesa","5b2d5320-dc0d-11ec-9416-9440c9ab47f0"
"610114","Tongwe","5b301a4e-dc0d-11ec-9416-9440c9ab47f0"
"620101","GILYA","463ae449-bee5-11eb-8cbd-5cb901ddeae0"
"620102","NKINDWABIYE","463bf62e-bee5-11eb-8cbd-5cb901ddeae0"
"620103","MWAUMATONDO","463d04d7-bee5-11eb-8cbd-5cb901ddeae0"
"620104","IHUSI","463e1899-bee5-11eb-8cbd-5cb901ddeae0"
"620105","BANEMHI","463f28f6-bee5-11eb-8cbd-5cb901ddeae0"
"620106","BILALO","46403b77-bee5-11eb-8cbd-5cb901ddeae0"
"620107","ITUBIKILO","46414b93-bee5-11eb-8cbd-5cb901ddeae0"
"620108","SAPIWI","46425ae2-bee5-11eb-8cbd-5cb901ddeae0"
"620109","MATONGO","4643470d-bee5-11eb-8cbd-5cb901ddeae0"
"620110","MWASUBUYA","46445863-bee5-11eb-8cbd-5cb901ddeae0"
"620111","MWAUBINGI","46456a3a-bee5-11eb-8cbd-5cb901ddeae0"
"620112","NKOLOLO","46467d7c-bee5-11eb-8cbd-5cb901ddeae0"
"620113","GIBESHI","46478c61-bee5-11eb-8cbd-5cb901ddeae0"
"620114","MASEWA","4648780f-bee5-11eb-8cbd-5cb901ddeae0"
"620115","KASOLI","464961c5-bee5-11eb-8cbd-5cb901ddeae0"
"620116","MWAMAPALALA","5b336060-dc0d-11ec-9416-9440c9ab47f0"
"620117","DUTWA","5b34919c-dc0d-11ec-9416-9440c9ab47f0"
"620118","MWASAMBA","5b35cee5-dc0d-11ec-9416-9440c9ab47f0"
"620119","KIDINDA","5b3929ec-dc0d-11ec-9416-9440c9ab47f0"
"620120","LALAGO","5b3d7cee-dc0d-11ec-9416-9440c9ab47f0"
"620121","Nyamikoma","5b410b40-dc0d-11ec-9416-9440c9ab47f0"
