"Code","Description","Unique Row Identifier (UUID)"
"1","18-30 years","c0aecc59-bec5-11eb-81ba-3822e2cde809"
"2","31-60 years","c0aef28f-bec5-11eb-81ba-3822e2cde809"
"3","> 60 years","c0af1bc3-bec5-11eb-81ba-3822e2cde809"
