"Code","Description","Unique Row Identifier (UUID)"
"-66","Other (give details)","723a71c1-bec6-11eb-81ba-3822e2cde809"
"1","Village","72390c35-bec6-11eb-81ba-3822e2cde809"
"2","Centre/town","723966cf-bec6-11eb-81ba-3822e2cde809"
"3","Market","7239de7c-bec6-11eb-81ba-3822e2cde809"
"4","Abattoir","723a2cba-bec6-11eb-81ba-3822e2cde809"
