"Code","Description","Unique Row Identifier (UUID)"
"-66","Other (give details)","72425323-bec6-11eb-81ba-3822e2cde809"
"1","Village","7241cd23-bec6-11eb-81ba-3822e2cde809"
"2","Centre/town","7241fadb-bec6-11eb-81ba-3822e2cde809"
"3","Market","724226b2-bec6-11eb-81ba-3822e2cde809"
