"Code","Description","Unique Row Identifier (UUID)"
"-77","Don't know","723d00f0-bec6-11eb-81ba-3822e2cde809"
"-66","Other (describe)","723cbe44-bec6-11eb-81ba-3822e2cde809"
"1","On foot","723beccf-bec6-11eb-81ba-3822e2cde809"
"2","By vehicle","723c33ba-bec6-11eb-81ba-3822e2cde809"
"3","By cart","723c781b-bec6-11eb-81ba-3822e2cde809"
