"Code","Description","Unique Row Identifier (UUID)"
"1","Senegal","c0ad1cc2-bec5-11eb-81ba-3822e2cde809"
"2","Mali","c0ad43db-bec5-11eb-81ba-3822e2cde809"
"3","Burkina Faso","c0ad8ce5-bec5-11eb-81ba-3822e2cde809"
"4","Kenya","c0adf96e-bec5-11eb-81ba-3822e2cde809"
"5","Ethiopia","c0ae663b-bec5-11eb-81ba-3822e2cde809"
"6","Tanzania","c0ae8f8f-bec5-11eb-81ba-3822e2cde809"
