"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","10. What other species of animals do you buy apart from sheep and goats? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"977652","1","1","-66","fd95d062-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","1","f8bef024-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","4","f8bee1e7-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","1","fb7aa47b-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","4","fb7ab4ea-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","1","f90da47c-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","-66","f8884bf5-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","1","fd4fc443-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","4","fd4fd70c-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","-66","fe15b3b0-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","-66","f9ced350-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","-66","f9023e73-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","1","fbf4b1f9-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","4","fbf4c341-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","1","f7e47917-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","1","fcc92ed4-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","1","fbc06b22-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","1","fa6be9bd-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","4","fa6bf7ac-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","-66","f9aff899-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","4","f806f6cc-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","1","ff01a177-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","1","fd19ece8-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","1","fddab828-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","fbd2fc99-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","1","f7dca88a-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","1","fb3be5d2-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","4","fd91cd87-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","fcbcf2e6-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","-66","fe9ac97a-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","1","fb34cd9f-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","1","fc30e2e3-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","1","fbe246c5-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","1","f964b58c-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","-66","fdb4d51a-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","1","fb0814f2-beed-11eb-8cbd-5cb901ddeae0"
"977707","1","1","-66","fc23e267-beed-11eb-8cbd-5cb901ddeae0"
"977708","1","1","-66","fc9d7f56-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","5","f982d3eb-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","1","f95a849a-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","4","f95a94cf-beed-11eb-8cbd-5cb901ddeae0"
"977977","1","1","-66","fd8d9394-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","1","fd5b86cf-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","-66","fe5de33c-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","1","-66","f866357c-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","1","1","fa73cab5-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","1","-66","fc7eec3a-beed-11eb-8cbd-5cb901ddeae0"
"977984","1","1","-66","fe2e1878-beed-11eb-8cbd-5cb901ddeae0"
"977985","1","1","-66","f98a050a-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","1","fa49c619-beed-11eb-8cbd-5cb901ddeae0"
"980516","1","1","4","fed28336-beed-11eb-8cbd-5cb901ddeae0"
"980518","1","1","-66","fd204e06-beed-11eb-8cbd-5cb901ddeae0"
"980521","1","1","1","f972b04e-beed-11eb-8cbd-5cb901ddeae0"
"980525","1","1","1","fc681833-beed-11eb-8cbd-5cb901ddeae0"
"980526","1","1","1","fb60d354-beed-11eb-8cbd-5cb901ddeae0"
"980532","1","1","-66","fd390939-beed-11eb-8cbd-5cb901ddeae0"
"980543","1","1","-66","fe73d4f8-beed-11eb-8cbd-5cb901ddeae0"
"980545","1","1","1","fbad0bf2-beed-11eb-8cbd-5cb901ddeae0"
"980547","1","1","-66","fa87c88b-beed-11eb-8cbd-5cb901ddeae0"
"980548","1","1","4","fb9e4207-beed-11eb-8cbd-5cb901ddeae0"
"985950","1","1","1","fed6447c-beed-11eb-8cbd-5cb901ddeae0"
"985951","1","1","-66","feda6954-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","4","fd08ec5e-beed-11eb-8cbd-5cb901ddeae0"
"985954","1","1","-66","fdb127eb-beed-11eb-8cbd-5cb901ddeae0"
"985955","1","1","-66","fb826204-beed-11eb-8cbd-5cb901ddeae0"
"985956","1","1","-66","fe70434e-beed-11eb-8cbd-5cb901ddeae0"
"985957","1","1","-66","fc5d3688-beed-11eb-8cbd-5cb901ddeae0"
"986926","1","1","-66","fb52b5b5-beed-11eb-8cbd-5cb901ddeae0"
"986928","1","1","-66","f8995a99-beed-11eb-8cbd-5cb901ddeae0"
"986930","1","1","-66","fa25bc27-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","4","fc3c2fa6-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","1","f91496cd-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","4","f914a885-beed-11eb-8cbd-5cb901ddeae0"
"986934","1","1","-66","fd57374d-beed-11eb-8cbd-5cb901ddeae0"
"986935","1","1","4","f8e77a18-beed-11eb-8cbd-5cb901ddeae0"
"986936","1","1","-66","fcb6050a-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","-66","f831867f-beed-11eb-8cbd-5cb901ddeae0"
"992819","1","1","1","fa140349-beed-11eb-8cbd-5cb901ddeae0"
"992819","1","1","4","fa1412ad-beed-11eb-8cbd-5cb901ddeae0"
"992820","1","1","1","feeb14f5-beed-11eb-8cbd-5cb901ddeae0"
"992821","1","1","1","fd650d27-beed-11eb-8cbd-5cb901ddeae0"
"992916","1","1","4","fac3f2f8-beed-11eb-8cbd-5cb901ddeae0"
"992919","1","1","-66","fdf19ca5-beed-11eb-8cbd-5cb901ddeae0"
"992920","1","1","4","fd4446ed-beed-11eb-8cbd-5cb901ddeae0"
"992921","1","1","4","fa98cadd-beed-11eb-8cbd-5cb901ddeae0"
"996124","1","1","-66","fd16b02e-beed-11eb-8cbd-5cb901ddeae0"
"996132","1","1","1","f9566f90-beed-11eb-8cbd-5cb901ddeae0"
"996301","1","1","-66","fb5d1c09-beed-11eb-8cbd-5cb901ddeae0"
"996303","1","1","-66","f9bb7afa-beed-11eb-8cbd-5cb901ddeae0"
"996304","1","1","1","fe69104e-beed-11eb-8cbd-5cb901ddeae0"
"996307","1","1","-66","fc3f6861-beed-11eb-8cbd-5cb901ddeae0"
"996308","1","1","-66","fea73b11-beed-11eb-8cbd-5cb901ddeae0"
"996309","1","1","1","f9f15f49-beed-11eb-8cbd-5cb901ddeae0"
"998356","1","1","1","fe2318e7-beed-11eb-8cbd-5cb901ddeae0"
"998365","1","1","-66","fce4f177-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","-66","fee23c8e-beed-11eb-8cbd-5cb901ddeae0"
"998420","1","1","-66","fb3ffc1b-beed-11eb-8cbd-5cb901ddeae0"
"998421","1","1","5","f93c2173-beed-11eb-8cbd-5cb901ddeae0"
"998423","1","1","-66","f895aca4-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","-66","fa048a3c-beed-11eb-8cbd-5cb901ddeae0"
"998679","1","1","-66","f8d10af9-beed-11eb-8cbd-5cb901ddeae0"
"998680","1","1","4","f8473695-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","-66","fafd27f5-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","-66","fcabce83-beed-11eb-8cbd-5cb901ddeae0"
"998719","1","1","4","f7f86b39-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","-66","fa335dc7-beed-11eb-8cbd-5cb901ddeae0"
"998721","1","1","-66","f933687a-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","-66","faaa1241-beed-11eb-8cbd-5cb901ddeae0"
"998724","1","1","1","fb159205-beed-11eb-8cbd-5cb901ddeae0"
"998908","1","1","-66","f7cfe42c-beed-11eb-8cbd-5cb901ddeae0"
"998909","1","1","-66","f9a316ab-beed-11eb-8cbd-5cb901ddeae0"
"998910","1","1","1","f8e188c9-beed-11eb-8cbd-5cb901ddeae0"
"998910","1","1","4","f8e193ff-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","1","fd24c5de-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","2","fd24e201-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","4","fd24d2c9-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","1","fd4bc2cd-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","2","fd4bd81f-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","4","fd4beb1e-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","5","fd4bf9a3-beed-11eb-8cbd-5cb901ddeae0"
"998913","1","1","-66","f99b02f1-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","1","fc73a915-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","2","fc73c628-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","4","fc73b78c-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","1","fb4bc4a0-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","2","fb4bd070-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","4","fb4be085-beed-11eb-8cbd-5cb901ddeae0"
