"Code","Description","Unique Row Identifier (UUID)"
"1","Sheep","7247ad1b-bec6-11eb-81ba-3822e2cde809"
"2","Goats","7247daa0-bec6-11eb-81ba-3822e2cde809"
"3","Both sheep and goats","72480858-bec6-11eb-81ba-3822e2cde809"
