"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","1. What are the activities that you are doing in this market today?","If other, specify","Type of place (see mrktc_lkpsell_placetype)","If other specify","Name of place","Ward","District","3. What is your main reason for selling these sheep and/ or goats?","If other, specify","4. How were sheep/ goats transported to the market? (see mrktc_lkpsell_trans)","If other, specify","5. Do you also sell other animal species apart from sheep and goats?","If yes, out of all the species that you sell, which species do you sell the most?","If other, specify","Will you transport the sheep/ goats you are buying today?","Type of place (see mrktc_lkpplacetype)","If other, specify","Name of place","Ward","District","7. What is your main reason for buying these small ruminants?","If other, specify","8. How will you transport these small ruminants that you are buying (see mrktc_lkpsell_trans)","If other, specify","9. What criteria do you use to decide which small ruminants to buy?","If other, specify","10. What other species of animals do you buy apart from sheep and goats?","If other, specify","11. If the prices of sheep and goats increase for some reason e.g. a shortage of animals due to disease, will you still buy them?","If no, which other species will you consider instead?","If other, specify","If yes, how much of an increase in the current price of sheep and goat (unit price of live animal) will cause you to change your purchasing behaviour to another animal species","12. How many times in a month do you buy or sell sheep and /or goats in this market?","Unique Row Identifier (UUID)"
"1020191","1","1","3","","1","","Kassela","Kassela","Kati","1 2","","2","","0","","","1","1","","Faladiè","Faladiè","Bamako","1","","2","","2 1","","1","","1","","","100000","4","08a4d4f3-d91d-11eb-9de1-9440c9ab47f0"
"1020192","1","1","1","","1","","Mounzou","Mounzou","Kati","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","06ac2d37-d91d-11eb-9de1-9440c9ab47f0"
"1020193","1","1","4","","","","","","","","","","","","","","1","-66","Domicile","Kassela","Kassela","Kati","-66","Mariage","2","","1 3 2 5 4 6 7 8","","4","","0","-66","Aucune espèce","","4","09385162-d91d-11eb-9de1-9440c9ab47f0"
"1020194","1","1","1","","1","","Marka coungo","Marka coungo","Diola","1 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","06eb25c2-d91d-11eb-9de1-9440c9ab47f0"
"1020195","1","1","1 4","","1","","Konobougou","Konobougou","Segou","1","","2","","0","","","1","1","","Dialakoroba","Dialakoroba","Kati","1","","2","","1 2 3","","-66","Aucune espèce","1","","","100000","4","0c7f8c62-d91d-11eb-9de1-9440c9ab47f0"
"1020196","1","1","1","","1","","Konobougou","Konobougou","Baraoueli","1 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","0e1774a9-d91d-11eb-9de1-9440c9ab47f0"
"1020197","1","1","3 1","","1","","Kassela","Kassela","Kati","3 4 7","","1","","0","","","1","1","","Kassela","Kassela","Kati","7 4","","1","","1 2 4","","-66","Rien","0","-66","Rien","","4","07129013-d91d-11eb-9de1-9440c9ab47f0"
"1020198","1","1","1","","1","","Konobougou","Konobougou","Sègou","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","07718b92-d91d-11eb-9de1-9440c9ab47f0"
"1020199","1","1","1","","1","","Konodimini","Konodimini","Ségou","1 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","096fc476-d91d-11eb-9de1-9440c9ab47f0"
"1020200","1","1","3","","1","","Nara - Nioro - Niono","Nara - Nioro - Niono","Koulikoro - Kayes - Segou","1","","2","","1","1","","0","","","","","","1","","-66","","1 3 4 5","","","","1","","","75000","4","04c195bc-d91d-11eb-9de1-9440c9ab47f0"
"1020201","1","1","3 1","","1","","1 Marka coungo - 2 Fana - 3 Konobougou","1 Marka coungo - 2 Fana - 3 Konobougou","1 Diola - 2 Segou","3 4 6","","2","","0","","","1","1","","1 Kassela - 2 Fana","1 Kassela - 2 Fana","1 Kati - 2 Diola","5 7","","2","","1 2 3 4 5 6 7 8","","-66","Aucune espèce","0","-66","Aucune espèce","","4","074618a3-d91d-11eb-9de1-9440c9ab47f0"
"1020202","1","1","2","","1","","Sanankoroba","Sanankoroba","Kati","2","","-77","","0","","","0","","","","","","-66","Pas d`achat","-77","","1 2 3","","-66","Aucune espèce","0","-66","Aucune espèce","","4","077a4b1a-d91d-11eb-9de1-9440c9ab47f0"
"1020203","1","1","4","","","","","","","","","","","","","","1","1","","Kognonbla","Kognonbla","Kati","5","","2","","2 3 1","","-66","Aucune espèce","1","","","80000","4","06b675ee-d91d-11eb-9de1-9440c9ab47f0"
"1020204","1","1","3","","1","","Nara - Dili - Dali","Nara - Dili - Dali","Koulikoro  - Koulikoro  - Kayes","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","-66","Ils vendent uniquement les petits ruminants","0","","","","","0df8e9f2-d91d-11eb-9de1-9440c9ab47f0"
"1020205","1","1","3","","1","","1 Fana - 2 Marka coungo - 3 konobougou","1 Fana - 2 Marka coungo - 3 Konobougou","1 Kati - 2 Segou","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 8","","-66","Aucune","1","","","50000","4","06c6c8a4-d91d-11eb-9de1-9440c9ab47f0"
"1020206","1","1","1","","1","","Fangasso","Fangasso","Tominian","1","","2","","1","1","","","","","","","","","","","","","","","","","","","","","05bcbc91-d91d-11eb-9de1-9440c9ab47f0"
"1020208","1","1","3","","1","","Nara - Nioro","Nara  - Nioro","Koulikoro  - Kayes","1","","2","","","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","","","0","-66","Aucune espèce","","4","0bb5583e-d91d-11eb-9de1-9440c9ab47f0"
"1020209","1","1","1 3","","1","","Konondimini, konobougou, ouelessebougou","Konondimini, konobougou, ouelessebougou","Séjour, Kati","2 3 4 6","","1","","0","","","0","","","","","","1 7 5","","2","","1 2 3 4 5 6 7","","-66","Rien","1","","","50000","4","0881d727-d91d-11eb-9de1-9440c9ab47f0"
"1020210","1","1","1","","1","","1 Dialakoroba - 2 Ouéléssebougou - 3 Safébougou - 4 Tagnana - 5 Djelékoro - 6 Djikatou - 7 Sounsounkoro - 8 Gninkoro","1 Dialakoroba - 2 Ouéléssebougou - 3 Safébougou - 4 Tagnana - 5 Djelékoro - 6 Djikatou - 7 Sounsounkoro - 8 Gninkoro","Kati","1 2","","-66","Par vélo","0","","","","","","","","","","","","","","","","","","","","","","0d14fdb9-d91d-11eb-9de1-9440c9ab47f0"
"1020211","1","1","3","","1","","Didieni  - Sèkè - Filimbougou - Sagabala","Didieni  - Sèkè - Filimbougou - Sagabala","Kayes","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","","","1","","","50000","4","0802f140-d91d-11eb-9de1-9440c9ab47f0"
"1020212","1","1","1 3","","1","","1 Sounkoro - 2 Tabakoro","1 Sounkoro - 2 Tabakoro","Kati","1 3 4","","2","","0","","","0","","","","","","1 5 7","","2","","1 2 3 4 5 6 7 8","","-66","Aucune","0","-66","Aucune espèce","","4","0e68d5c9-d91d-11eb-9de1-9440c9ab47f0"
"1020213","1","1","1","","1","","Sido","Sido","Kati","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","0dc2e298-d91d-11eb-9de1-9440c9ab47f0"
"1020214","1","1","3","","1","","1 Konobougou - 2 Dioila","1 Konobougou - 2 Dioila","Ségou  - Kouloukono","1 2","","2","","1","1","","1","1","","Sanankoroba","Sanankoroba","Kati","1 8","","2","","2 1 7","","1","","1","","","35000","4","0aa7b0fe-d91d-11eb-9de1-9440c9ab47f0"
"1020215","1","1","3","","1","","Fassoun","Fassoun","Kayes","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","-66","Aucune espèce","1","","","40000","4","0ca3c7dd-d91d-11eb-9de1-9440c9ab47f0"
"1020216","1","1","1","","1","","Sitan","Sanankoroba","Kati","3 4","","1","","1","1","","","","","","","","","","","","","","","","","","","","","0c78af30-d91d-11eb-9de1-9440c9ab47f0"
"1020217","1","1","1","","1","","Dougabougou","Dougabougou","Segou","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","056f6a69-d91d-11eb-9de1-9440c9ab47f0"
"1020218","1","1","1","","1","","Konobougou","Konobougou","Ségou","1 2","","2","","0","","","","","","","","","","","","","","","","","","","","","","0d9f7226-d91d-11eb-9de1-9440c9ab47f0"
"1020219","1","1","3","","1","","Dicko - Zamba - kokoun","Dicko - Zamba - kokoun","Koulikoro","2","","2","","1","1","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","1","","0","1","","","4","04e7afa1-d91d-11eb-9de1-9440c9ab47f0"
"1020220","1","1","1","","1","","Sanankoroba","Sanankoroba","Kati","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","0e3e7cbb-d91d-11eb-9de1-9440c9ab47f0"
"1020221","1","1","3","","1","","Kassela","Kassela","Kati","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 8 7","","-66","Il ne fait que le commerce des petits ruminants","0","-66","Aucune espèce","","4","090582e7-d91d-11eb-9de1-9440c9ab47f0"
"1020222","1","1","1","","1","","Sanankoroba","Sanankoroba","Kati","1","","2","","1","1","","","","","","","","","","","","","","","","","","","","","05c169e2-d91d-11eb-9de1-9440c9ab47f0"
"1020225","1","1","3","","1","","Marakakoungo","Marka coungo","Koulikoro","1","","2","","1","1","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","1","","1","","","50000","4","0c291248-d91d-11eb-9de1-9440c9ab47f0"
"1020226","1","1","3","","1","","Fana - Marakakoungo - Konobougou","Fana - Marakakoungo - Konobougou","Koulikoro  - Ségou","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","-66","Rien à signaler","1","","","50000","4","0aeb5d03-d91d-11eb-9de1-9440c9ab47f0"
"1020227","1","1","3","","1","","Konobougou - Marka coungo - Fana","Konobougou - Marka coungo - Fana","Ségou  - Koulikoro","1","","2","","0","","","0","","","","","","1","","2","","1 2 3 4 5 6 7 8","","1","","1","","","50000","4","09e32a42-d91d-11eb-9de1-9440c9ab47f0"
"1020228","1","1","3","","1","","Ouélessebougou","Ouélessebougou","Kati","1 2","","2","","0","","","1","1","","Sanankoroba","Sanankoroba","Kati","1","","2","","1 2 3 5 4 6 7 8","","1","","1","","","50000","4","089c336f-d91d-11eb-9de1-9440c9ab47f0"
"1020229","1","1","3","","2","","Niono","Niono","Segou","1","","2","","0","","","1","1","","Sanankoroba","Sanankoroba","Kati","1","","2","","1 2 3 4 5 6 7 8","","-66","Il ne vente que des petits ruminants","1","","","50000","4","05731118-d91d-11eb-9de1-9440c9ab47f0"
"1020230","1","1","3","","1","","Sirakola ,Sebabougou","","","1","","2","","0","","","1","-66","Chez lui","Sanankoroba","","","1","","2","","1 2 3 4 5 6 7 8","","-66","Il ne vend que des petits ruminants","1","","","35000","","05c4ea7a-d91d-11eb-9de1-9440c9ab47f0"
"1070193","1","1","4","","","","","","","","","","","","","","1","2","","Bencouda","Bencouda","Kayes","7","","2","","-66","J`ai des connaissances qui mieux les animaux ami peulh","4","","1","","","25000","0","eb5995d1-3c1f-11ec-ab28-9440c9ab47f0"
"1070194","1","1","4","","","","","","","","","","","","","","1","2","","Khasso","Khasso plateau","Kayes","8","","-66","Moto","1 3 2 5","","1 4","","1","","","30000","3","ec158082-3c1f-11ec-ab28-9440c9ab47f0"
"1070196","1","1","3","","1","","Darsalam","Darsalam","Kayes","6 2","","1","","1","1 4 5","","0","","","","","","4 5","","","","","","","","","","","","","ead6f19b-3c1f-11ec-ab28-9440c9ab47f0"
"1070198","1","1","1","","1","","Kersiquané","Kersiquané","Kayes/khoulou","2 6","","1","","0","","","","","","","","","","","","","","","","","","","","","","ea141f1b-3c1f-11ec-ab28-9440c9ab47f0"
"1070199","1","1","3","","1","","Kayes ndi","Kayes ndi","Kayes","1 6 2","","","","","","","1","1","","Babala","Babala","Kayes","1 4 5 8","","1","","1 3 4 5 7","","1 4","","1","","","3000","1","f044bef8-3c1f-11ec-ab28-9440c9ab47f0"
"1070201","1","1","4","","","","","","","","","","","","","","1","2","","Lafiabougou","Lafiabougou","Kayes","8","","2","","1 2 5","","1 4","","0","","","","","edd2df8e-3c1f-11ec-ab28-9440c9ab47f0"
"1070203","1","1","4","","","","","","","","","","","","","","1","2","","Kayes","Kayes ndi","Kayes","6","","","","","","","","","","","","","e9e3c4aa-3c1f-11ec-ab28-9440c9ab47f0"
"1070205","1","1","1","","1","","Samé wolol","Samé","Kayes","2 5","","1","","1","1","","","","","","","","","","","","","","","","","","","","","ea3e5187-3c1f-11ec-ab28-9440c9ab47f0"
"1070206","1","1","3","","1","","","Alahina","Kayes","1","","2","","1","1 4","","1","-66","Au champ","Kersiquané","Kersiquané","Kayes/kouloum","4 1 5 8 -66","","1","","1 2 4 5","","1","","1","","","20000","3","eaed316b-3c1f-11ec-ab28-9440c9ab47f0"
"1070208","1","1","4","","","","","","","","","","","","","","1","2","","Liberté","Liberté","Kayes","7","","2","","2 5","","4","","1","","","15000","6","ec34c291-3c1f-11ec-ab28-9440c9ab47f0"
"1070210","1","1","4","","","","","","","","","","","","","","1","2","","Kayes ndi sidiya","Sidya","Kayes","5","","1","","1 3 5 7","","1 4","","1","","","10000","3","edfc3987-3c1f-11ec-ab28-9440c9ab47f0"
"1070212","1","1","4","","","","","","","","","","","","","","1","2","","Diakale","Kayes ndi diakale","Kayes","3","","1","","1 3 5 7 2","","1 4","","1","","","15000","4","ed4ad0b7-3c1f-11ec-ab28-9440c9ab47f0"
"1070213","1","1","1","","1","","Segue peulh","Segue peulh","Kayes","6 2 1","","1","","1","1 4 5","","","","","","","","","","","","","","","","","","","","","ee2269b2-3c1f-11ec-ab28-9440c9ab47f0"
"1070215","1","1","3","","2","","Bencouda","Nianka nianka","Kayes ndi","1 2 5 6","","1","","1","1","","0","","","","","","1 3 4 5 8","","1","","1 2 3 4 5 6 7 8","","1","","1","","","30000","2","ed17f6a2-3c1f-11ec-ab28-9440c9ab47f0"
"1070217","1","1","4","","","","","","","","","","","","","","1","2","","Kamakole","Kamakole","Kayes","7","","2","","1 2 5 3","","4","","1","","","15000","6","ed76d319-3c1f-11ec-ab28-9440c9ab47f0"
"1070219","1","1","4","","","","","","","","","","","","","","1","1","","Kayes ndi","","Kayes","8 5","","1","","1 2 3 5 7 8","","-66","Non","1","","","25000","3","edce0cda-3c1f-11ec-ab28-9440c9ab47f0"
"1070221","1","1","4","","","","","","","","","","","","","","1","1","","Dousoukane","","Kayes","3 4 5","","","","","","","","","","","","","f05d8d1f-3c1f-11ec-ab28-9440c9ab47f0"
"1070223","1","1","4","","","","","","","","","","","","","","1","1","","Dyalla","Dyalla","Kayes","8 6 -66","Offrir à quelqu`un","2","","1 2 3 4 5 8 7","","4","","1","","","15000","5","f00339f7-3c1f-11ec-ab28-9440c9ab47f0"
"1070225","1","1","2","","1","","Moussala","Moussala","Kayes","5 6 2 1","","1","","1","1 4","","0","","","","","","1 5 6","","1","","1 2 3 4 5 7","","1","","1","","","25000","3","effd0c6d-3c1f-11ec-ab28-9440c9ab47f0"
"1070227","1","1","4","","","","","","","","","","","","","","1","2","","Liberté","Liberté","Kayes","8","","2","","1 2 3 5","","4","","1","","","10000","4","e8443053-3c1f-11ec-ab28-9440c9ab47f0"
"1070229","1","1","4","","","","","","","","","","","","","","0","","","","","","8","","","","","","","","","","","","","ea2149d9-3c1f-11ec-ab28-9440c9ab47f0"
"1070231","1","1","4","","","","","","","","","","","","","","0","","","","","","4 5","","","","","","","","","","","","","ed6ce6f0-3c1f-11ec-ab28-9440c9ab47f0"
"1070233","1","1","1","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","ec7999d1-3c1f-11ec-ab28-9440c9ab47f0"
"1070235","1","1","4","","","","","","","","","","","","","","1","1","","Alahina","","Kayes","4","","2","","1 2 3 7 8","","1","","1","","","25000","","efb98e5b-3c1f-11ec-ab28-9440c9ab47f0"
"1070237","1","1","3","","1","","Alahina","","Kayes","1 6","","1","","1","1 4","","0","","","","","","1 5 4","","1","","1 2 3 5 7","","1 4","","1","","","30000","","ef6d0e23-3c1f-11ec-ab28-9440c9ab47f0"
"1070239","1","1","4","","","","","","","","","","","","","","0","","","","","","7","","1","","1 2 4 5 8","","4","","1","","","15000","","ee760c8e-3c1f-11ec-ab28-9440c9ab47f0"
"1070241","1","1","2","","1","","Darsalam","","Kayes","2","","1","","1","1","","0","","","","","","-66","La vente","1","","1 2 4 5 7 -66","Je n`achète pas je vends","-66","Je vends","","","","","","ecd0422d-3c1f-11ec-ab28-9440c9ab47f0"
"1070243","1","1","1","","1","","Alahina","","Kayes","6 2 1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","ea6baf3c-3c1f-11ec-ab28-9440c9ab47f0"
"1070245","1","1","3","","1","","Samé wolol","","Kayes","1 2 6","","1","","1","1","","0","","","","","","1 4 5 8","","1","","1 2 3 4 5 7 8","","1","","1","","","30000","2","ea6296e2-3c1f-11ec-ab28-9440c9ab47f0"
"1070350","1","1","1","","1","","Dyalla","","Kayes","2 5","","1","","1","1","","","","","","","","","","","","","","","","","","","","","e9b56e0d-3c1f-11ec-ab28-9440c9ab47f0"
"1070351","1","1","1","","1","","Dyalla","","Kayes","2 5","","1","","1","1","","","","","","","","","","","","","","","","","","","","","eabb9f94-3c1f-11ec-ab28-9440c9ab47f0"
"1070352","1","1","1","","1","","Darsalam","","Kayes","1 6 5","","1","","1","1","","","","","","","","","","","","","","","","","","","","","f00ad549-3c1f-11ec-ab28-9440c9ab47f0"
"1070353","1","1","4","","","","","","","","","","","","","","1","2","","Lafiabougou","","Kayes","7","","2","","1 2 3 8 5","","4","","1","","","10000","9","e85d7e3a-3c1f-11ec-ab28-9440c9ab47f0"
"1070354","1","1","4","","","","","","","","","","","","","","0","","","","","","8","","1","","1 2 3 5","","-66","Rien","1","","","5000","3","ee4da726-3c1f-11ec-ab28-9440c9ab47f0"
"1070355","1","1","2","","1","","Alahina","","Kayes","2","","1","","1","1","","0","","","","","","-66","J`achète pas je suis intermédiaire","1","","1 2 4 3 5","","1","","1","","","15000","","ec8e98c8-3c1f-11ec-ab28-9440c9ab47f0"
"1070356","1","1","4","","","","","","","","","","","","","","1","2","","Legal segou","","Kayes","8","","2","","1 2 3 5 8","","4","","1","","","15000","","ea5ba20e-3c1f-11ec-ab28-9440c9ab47f0"
"1070357","1","1","4","","","","","","","","","","","","","","1","1","","Kamakole","","Kayes","7","","2","","1 2 3 5 8","","4","","1","","","10000","","eec0c2ca-3c1f-11ec-ab28-9440c9ab47f0"
"1070358","1","1","4","","","","","","","","","","","","","","0","","","","","","5","","1","","1 2 3 5 4 7 8","","4","","1","","","5000","5","ecf1bc2c-3c1f-11ec-ab28-9440c9ab47f0"
"1070359","1","1","4","","","","","","","","","","","","","","1","2","","Lafiabougou","","Kayes","3","","2","","1 2 3 7 8 5","","","","1","","","25000","","f072d6a1-3c1f-11ec-ab28-9440c9ab47f0"
"1070360","1","1","2","","1","","Dyalla","","Kayes","2 3","","1","","1","1 4","","0","","","","","","-66","La vente comme intermédiaire","1","","1 2 3 4 5 6 7 8","","-66","Je suis intermédiaire","0","1","","","1","ebcfe450-3c1f-11ec-ab28-9440c9ab47f0"
"1144525","1","1","3","","3","","Kongogo","Babayu","Bahi","1","","2","","0","","","1","2","","Mnada wa Kizota","Kizota","Dodoma mjini","1","","2","","1 2 3 4 5 6","","","","0","1","","","5","2803f8b3-dc16-11ec-9416-9440c9ab47f0"
"1144526","1","1","1","","1","","Lamaiti","Lamaiti","Bahi","6","","1","","0","","","","","","","","","","","","","","","","","","","","","","2749c3a7-dc16-11ec-9416-9440c9ab47f0"
"1144527","1","1","1","","1","","Chasa","Babayu","Chemba","5","","1","","0","","","","","","","","","","","","","","","","","","","","","","22a9e106-dc16-11ec-9416-9440c9ab47f0"
"1144528","1","1","1","","1","","Kongogo","Babayu","Bahi","5","","1","","0","","","","","","","","","","","","","","","","","","","","","","23824477-dc16-11ec-9416-9440c9ab47f0"
"1144529","1","1","2","","3","","Kongogo","Babayu","Bahi","2","","","","1","1","","0","","","","","","6","","","","3 1 2","","1","","0","4","","","3","27eef748-dc16-11ec-9416-9440c9ab47f0"
"1144530","1","1","1","","1","","Masimba","Masimba","Chemba","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2a46acbd-dc16-11ec-9416-9440c9ab47f0"
"1144531","1","1","4","","","","","","","","","","","","","","1","1","","Tinai","Msisi","Bahi","6","","1","","5 1 3","","1","","0","4","","","1","28ad5942-dc16-11ec-9416-9440c9ab47f0"
"1144532","1","1","3","","3","","Kongogo","Babayu","Bahi","1","","2","","0","","","1","3","","Kizota","Kizota","Dodoma mjini","1","","2","","2 1 3 4","","","","1","","","","8","22a5699f-dc16-11ec-9416-9440c9ab47f0"
"1144533","1","1","4","","","","","","","","","","","","","","1","1","","Chasi","Babayu","Chemba","2 3","","1","","1 2 3","","","","0","","","","1","2d647d2b-dc16-11ec-9416-9440c9ab47f0"
"1144534","1","1","1","","1","","Chasi","Babayu","Chemba","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","2125995e-dc16-11ec-9416-9440c9ab47f0"
"1144535","1","1","1","","1","","Chasi","Babayu","Chemba","1","","1","","0","","","","","","","","","","","","","","","","","","","","","","2d43a244-dc16-11ec-9416-9440c9ab47f0"
"1144621","1","1","3","","1","","Tinai village","Msisi","Bahi","1","","1","","0","","","0","","","","","","1","","1","","1 4 2 3","","1","","1","","","130000","1","70485e5a-dc08-11ec-9416-9440c9ab47f0"
"1144622","1","1","1","","1","","Kongogo","Babayu","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","754f82aa-dc08-11ec-9416-9440c9ab47f0"
"1144623","1","1","1","","1","","Kongogo","Babayu","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6e01ef54-dc08-11ec-9416-9440c9ab47f0"
"1144624","1","1","3","","1","","Kongogo","Babayu","Bahi","1","","1","","0","","","0","","","","","","1","","1","","1 2 3","","-66","Sinunui aina nyingine ya wanyama","1","","","","1","67dfcb9c-dc08-11ec-9416-9440c9ab47f0"
"1144625","1","1","4","","","","","","","","","","","","","","1","1","","Chase","Babayu","Chemba","5","","1","","1 3 2","","-66","Sinunui mifugo wengine","0","-66","Sinunui","","1","74b16c70-dc08-11ec-9416-9440c9ab47f0"
"1144626","1","1","4","","","","","","","","","","","","","","1","1","","Masimba","Babayu","Chemba","5","","2","","1 3 2","","4","","1","","","70000","1","74748053-dc08-11ec-9416-9440c9ab47f0"
"1144627","1","1","3","","1","","Kongogo","Babayu","Bahi","1","","1","","1","1","","0","","","","","","1","","1","","2 1 3","","1","","1","","","","1","6fd19fd3-dc08-11ec-9416-9440c9ab47f0"
"1144628","1","1","3","","1","","Kongogo","Babayu","Bahi","1","","-66","Sijaleta mnyama sokoni bali nimekuja kununua","0","","","1","2","","Dodoma","Dodoma mjini","Dodoma mjini","1","","2","","1 3 2","","-66","Sinunui aina nyinge ya wanyama","0","-66","Sitanunua aina nyingine","","1","6ef9ff79-dc08-11ec-9416-9440c9ab47f0"
"1144630","1","1","2","","1","","Kongogo","Babayu","Bahi","1","","1","","0","","","0","","","","","","1","","1","","2 3 1","","-66","Sinunui","1","","","120000","1","73b27518-dc08-11ec-9416-9440c9ab47f0"
"1144631","1","1","1","","1","","Mugondo","Babayu","Bahi","2 3","","1","","1","1","","","","","","","","","","","","","","","","","","","","","75ef268d-dc08-11ec-9416-9440c9ab47f0"
"1144632","1","1","1","","1","","Kongogo ","Kongogo","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","717018a1-dc08-11ec-9416-9440c9ab47f0"
"1144633","1","1","1","","1","","Chinyika","Mpendo","Nchemba","2 3","","1","","0","","","","","","","","","","","","","","","","","","","","","","673638a7-dc08-11ec-9416-9440c9ab47f0"
"1144634","1","1","1","","1","","Babayu","Babayu","Bahi","2","","1","","1","4 1","","","","","","","","","","","","","","","","","","","","","789c69e7-dc08-11ec-9416-9440c9ab47f0"
"1144635","1","1","4","","","","","","","","","","","","","","1","1","","Makorongo","Makorongo","Nchemba","2","","1","","3 4","","1","","0","-66","Sitanunua maana bei itakua  juu kwa kila mfugo .","","1","75cd2725-dc08-11ec-9416-9440c9ab47f0"
"1144636","1","1","1","","1","","Maziwa","Nchemba","Nchemba","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6684a81d-dc08-11ec-9416-9440c9ab47f0"
"1144637","1","1","3","","3","","Kongogo","Babayu","Bahi","1","","-66","Nimewakuta hapa hapa mnadani nikaanza kununua na kisha kuwauzaa hapa hapa","0","","","0","","","","","","1","","-66","Siwasafirishi nawauza hapa hapa","3 4 1 2","","-66","Hapana","0","-66","Sitanunua maana biashara yangu ni ya u uchuuzi  wa mbuzi na kondoo tu","","1","6d13f418-dc08-11ec-9416-9440c9ab47f0"
"1144638","1","1","3","","3","","Kongogo","Babayu","Bahi","1","","-66","Sijawatoa  popote  nimenunua hapa hapa na ninawauzia hapa hapa","0","","","0","","","","","","1","","-66","Siwasafirishi","1 2 3 4","","-66","Hapana ","0","-66","Ntaacha tu kufanya biashara","","1","6c6fd5a2-dc08-11ec-9416-9440c9ab47f0"
"1144639","1","1","-66 4","Nanunua naenda kuchinja naweka buchani","3","","Kongogo","Babayu","Bahi","-66","Kuuza kama nyama","-66","Mimi ni mnunuzi  tu","0","","","1","2","","Mnada wa zamani","Miyuji","Dodoma mjini","6 5","","2","","1 3 2 4","","-66","Hapana","1","","","200000","1","6d88c217-dc08-11ec-9416-9440c9ab47f0"
"1144640","1","1","1","","1","","Babayu","Babayu","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","66345545-dc08-11ec-9416-9440c9ab47f0"
"1144641","1","1","1","","3","","Kongogo","Babayu","Bahi","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6c9223c5-dc08-11ec-9416-9440c9ab47f0"
"1144642","1","1","4","","","","","","","","","","","","","","1","3","","Dodoma","Msalato","Bahi","1","","2","","-66 3 6","UKubwa  wa mbuzi","","","1","","","85000","1","6515cfba-dc08-11ec-9416-9440c9ab47f0"
"1144643","1","1","1","","1","","Chase","Babayu","Bahi","2 6","","1","","0","","","","","","","","","","","","","","","","","","","","","","64b57c10-dc08-11ec-9416-9440c9ab47f0"
"1144644","1","1","1","","1","","Tinai","Msisi","Bahi","2","","1","","1","1","","","","","","","","","","","","","","","","","","","","","648125a2-dc08-11ec-9416-9440c9ab47f0"
"1144645","1","1","1","","1","","Masinda","Masinda","Chemba","2 6","","1","","0","","","","","","","","","","","","","","","","","","","","","","794bf752-dc08-11ec-9416-9440c9ab47f0"
"1144646","1","1","4","","","","","","","","","","","","","","1","3","","Pugu","Pugu","Kibaha","1","","2","","3 -66","Uzito kwa kilo namuangalia tu  ili kupata faida kubwa","","","1","","","75000","1","79377b21-dc08-11ec-9416-9440c9ab47f0"
"1144647","1","1","1","","1","","Maziwa","Chemba","Chemba","2","","1","","0","","","","","","","","","","","","","","","","","","","","","","6fc0a2f0-dc08-11ec-9416-9440c9ab47f0"
"1144648","1","1","4","","","","","","","","","","","","","","1","2","","Dodoma","Msalato","Bahi","1","","2","","3 -66","Ukubwa wa mbuzi na kondoo piaa","","","","","","","","70359636-dc08-11ec-9416-9440c9ab47f0"
"1144649","1","1","4","","","","","","","","","","","","","","1","2","","Dodoma","Msalato","Dodoma jini","1","","1","","3 -66 2","Uzito kwa kilo","1","","1","","","85000","12","723aded4-dc08-11ec-9416-9440c9ab47f0"
"1144650","1","1","4","","","","","","","","","","","","","","1","2","","Msalato","Msalato","Dodoma mjini","1","","2","","2 -66 3","Ubora wa mfugo","","","","","","","","7150ff2d-dc08-11ec-9416-9440c9ab47f0"
"1144651","1","1","4","","","","","","","","","","","","","","1","-66","Nanunua kwaajili ya kuchinja hapa mnadani","Kongogo","Babayu","Bahi","8","","1","","-66","naangaliwa uzito na kilo tu","","","1","","","75000","1","78f15056-dc08-11ec-9416-9440c9ab47f0"
