"Code","Description","Unique Row Identifier (UUID)"
"-66","Other(give name)","723f299d-bec6-11eb-81ba-3822e2cde809"
"1","Cattle","723d67a8-bec6-11eb-81ba-3822e2cde809"
"2","Camels","723daede-bec6-11eb-81ba-3822e2cde809"
"3","Pigs","723e1d2f-bec6-11eb-81ba-3822e2cde809"
"4","Poultry","723e7ba7-bec6-11eb-81ba-3822e2cde809"
"5","Donkeys","723ee923-bec6-11eb-81ba-3822e2cde809"
