"fid (see mrktc_generalinfo)","Unique Row ID (see mrktc_generalinfo)","Unique Row ID","Market no","Name of market","Ward","District","Type of market (see mrktc_lkpmrkt_type)","Unique Row Identifier (UUID)"
"975376","1","1","1","BOUSSIN","BOUSSIN","SEGOU","1","fa42b568-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","2","2","DJOUNA","DJOUNA","SEGOU","3","fa42cd2c-beed-11eb-8cbd-5cb901ddeae0"
"975376","1","3","3","CINZANA GARE","CINZANA GARE","SEGOU","2","fa42e129-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","1","1","FATINÈ","FATINÈ","SÉGOU","2","f9276c41-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","2","2","YOLO","YOLO","SÉGOU","1","f9278174-beed-11eb-8cbd-5cb901ddeae0"
"975382","1","3","3","KATIÈNA","KATIÈNA","SÉGOU","2","f9279a54-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","1","1","FATINÈ","FATINÈ","SÉGOU","2","fd9a3b97-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","2","2","YOLO","YOLO","SÉGOU","1","fd9a4dc8-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","3","3","KATIÈNA","KATIÈNA","SÉGOU","2","fd9a5ea3-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","1","1","Fatiné","Fatiné","Ségou","1","fbcb6787-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","1","1","BOUSSIN","BOUSSIN","SÉGOU","1","f9ab8ac1-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","2","2","KATIÈNA","KATIÈNA","SÉGOU","1","f9aba5ff-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","3","3","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f9abc25b-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","4","4","KONONDIMINI","KONONDIMINI","SÉGOU","1","f9abde08-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","1","1","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f961b5c0-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","1","1","BOUSSIN","BOUSSIN","SÉGOU","1","f8725566-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","2","2","TOUNA","TOUNA","SÉGOU","2","f8726468-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","3","3","CINZANA CARE","CINZANA CARE","SÉGOU","2","f87276a7-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","4","4","KATIÈNA","KATIÈNA","SÉGOU","2","f87287ba-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","5","5","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f87297b0-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","1","1","TOUNA","TOUNA","SÉGOU","2","f986b374-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","2","2","DIORO","DIORO","SÉGOU","2","f986c471-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","1","1","Dioro","Dioro","Ségou","2","fc46a2aa-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","2","2","Yolo","Yolo","Ségou","1","fc46bef3-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","3","3","Markala","Markala","Ségou","2","fc46dd0e-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","4","4","Ségou","Cité comatex","Ségou","1","fc46f440-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","1","1","Katiana","Katiana","Ségou","2","f8eb42fa-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","2","2","CINZANA CARE","CINZANA CARE","SÉGOU","2","f8eb567c-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","1","1","CINZANA CARE","CINZANA CARE","SÉGOU","2","f82e74c1-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","2","2","Tona","Tona","Ségou","2","f82e8b17-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","3","3","Katiana","Katiana","Ségou","2","f82e9b4d-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","4","4","Djouna","Djouna","Ségou","2","f82ea888-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","1","1","Djouna","Djouna","Ségou","3","f809b05d-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","2","2","CINZANA CARE","CINZANA CARE","SÉGOU","2","f809c27b-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","1","1","Boussin","Boussin","Ségou","1","fb12509f-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","2","2","Katiana","Katiana","Ségou","2","fb126466-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","3","3","Niono","Niono","Ségou","1","fb1279d1-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","1","Boussin","Boussin","Ségou","1","fb23603b-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","2","2","Tona","Tona","Ségou","2","fb237805-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","3","3","Dioro","Dioro","Ségou","2","fb23979e-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","4","4","Cinzana care","Cinzana care","Ségou","2","fb23b026-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","1","1","SEGOU","CITE COMATEX","SEGOU","1","fec09a8f-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","2","2","CINZANA GARE","CINZANA GARE","SEGOU","2","fec0afae-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","3","3","Katièna","Katièna","SEGOU","2","fec0c3e3-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","4","4","DIOUNA","DIOUNA","SEGOU","2","fec0dc2d-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","1","Fatinè","Fatinè","SEGOU","1","f9c1a43c-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","2","2","YOLO","YOLO","SEGOU","1","f9c1b8e4-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","3","3","DIORO","DIORO","SEGOU","2","f9c1cbd6-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","1","YOLO","YOLO","SEGOU","1","fd86c070-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","2","2","Fatinè","Fatinè","SEGOU","1","fd86d83b-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","3","3","Katièna","Katièna","SEGOU","1","fd86efff-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","1","DIORO","DIORO","SEGOU","2","f7f4676e-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","2","2","YOLO","Yolo","SEGOU","1","f7f47a17-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","1","BOUSSIN","BOUSSIN","SEGOU","1","fdff7719-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","1","NIONO","NIONO","SEGOU","1","fb8d07ba-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","2","2","BOUSSIN","BOUSSIN","SEGOU","1","fb8d185f-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","1","KONODIMINI","KONODIMINI","SEGOU","1","f8ddd48a-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","2","2","KONOBOUGOU","KONOBOUGOU","SEGOU","2","f8ddebbe-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","1","1","DOUGABOUGOU,","","SEGOU","1","fcf22868-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","2","2","MARKALA","","SEGOU","2","fcf24014-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","1","Doukoutikigou","Doukoutikigou","Ségou","1","fa8b3263-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","1","Konobougou","Konobougou","Ségou","1","fa2fa573-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","1","YOLO","YOLO","SEGOU","2","fcde8e2b-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","f80372b5-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","1","KONONBOUGOU","KONONBOUGOU","SÉGOU","1","fc201fb9-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","2","2","SOMO","SOMO","SÉGOU","3","fc2031a4-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","fabc8d7d-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","1","TISSALA","TISSALA","SÉGOU","2","f8375633-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","2","2","KONOBOUGOU","KONOBOUGOU","SÉGOU","1","f83766c8-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","3","3","SÉGOU","CITÉ COMATEX","SÉGOU","1","f837764f-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","f82124d1-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","2","2","KONOBOUGOU","KONOBOUGOU","KOULIKORO","1","f82137a1-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","3","3","DIOILA","DIOILA","KOULIKORO","1","f8214859-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","4","4","FANA","FANA","KOULIKORO","1","f82157f9-beed-11eb-8cbd-5cb901ddeae0"
"975686","1","1","1","TISSALA","TISSALA","SÉGOU","1","f95ddf99-beed-11eb-8cbd-5cb901ddeae0"
"975686","1","2","2","KONOBOUGOU","KONOBOUGOU","SÉGOU","1","f95df2f1-beed-11eb-8cbd-5cb901ddeae0"
"975689","1","1","1","KONOBOUGOU","KONOBOUGOU","SÉGOU","1","f9c4c075-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","1","KONOBOUGOU","KONOBOUGOU","SÉGOU","1","f9d78a5b-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","1","Konodimini","Konodimini","SEGOU","1","f9e270df-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","2","2","KONOBOUGOU","KONOBOUGOU","SEGOU","2","f9e28648-beed-11eb-8cbd-5cb901ddeae0"
"975693","1","1","1","Sirakola (région de Koulikoro)","Sirakola","Koulikoro","1","fc94e8ad-beed-11eb-8cbd-5cb901ddeae0"
"975693","1","2","2","Kati Draal","Kati","Koulikoro","1","fc94fb49-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","1","Marché de Souban","Souban","SEGOU","1","f8c8cc1e-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","1","KONOBOUGOU","KONOBOUGOU","SEGOU","1","fc38973c-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","1","KONONDIMINI","KONONDIMINI","SEGOU","1","f8abb53f-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","2","2","DOUKABOUGOU","DOUKABOUGOU","SEGOU","2","f8abc595-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","feef7779-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","2","2","BOUSSIN","BOUSSIN","SÉGOU","1","feef8d2e-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","3","3","TOUNA","TOUNA","SÉGOU","2","feef9f5d-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","4","4","KATIÈNA","KATIÈNA","SÉGOU","2","feefb0fe-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","5","5","DOUGOUWOLO","DOUGOUWOLO","SÉGOU","2","feefc25b-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","6","6","M`PESSOBA","M`PESSOBA","SIKASSO","1","feefd41b-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","fd7d5ecb-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","2","2","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","fd7d71af-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","1","SÉGOU","CITÉ COMATEX","SÉGOU","1","fcc163cd-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","2","2","KATIÈNA","KATIÈNA","SÉGOU","2","fcc17df7-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","3","3","BOUSSIN","BOUSSIN","SÉGOU","1","fcc1944b-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","4","4","M`PESSOBA","M`PESSOBA","SIKASSO","1","fcc1a7d5-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","5","5","N`GASSOLA","N`GASSOLA","SÉGOU","2","fcc1b9df-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","1","DOUGABOUGOU","DOUGABOUGOU","SÉGOU","1","f8440dd4-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","2","2","KONONDIMINI","KONONDIMINI","SÉGOU","1","f844218e-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","3","3","KONOBOUGOU","KONOBOUGOU","SÉGOU","1","f8442fe9-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","4","4","SÉGOU","CITÉ COMATEX","SÉGOU","1","f8443ea7-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","1","1","Ségou","Cité comatex","Ségou","1","f97ec324-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","2","2","Boussin","Boussin","Ségou","1","f97eda08-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","3","3","Cinzana care","Cinzana care","Ségou","2","f97ef291-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","1","1","Ségou","Cité comatex","Ségou","1","fcaf83ad-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","2","2","Dougabougou","Dougabougou","Ségou","1","fcaf98b8-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","3","3","Konondimini","Konondimini","Ségou","1","fcafb0a4-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","4","4","Konobougou","Konobougou","Ségou","1","fcafc761-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","1","Dougabougou","Dougabougou","Ségou","1","f813d084-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","2","2","Boussin","Boussin","Ségou","1","f813dfef-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","3","3","Konondimini","Konondimini","Ségou","1","f813ed2a-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","4","4","Ségou","Cité comatex","Ségou ","1","f813f97f-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","1","1","Tona","Tona","Ségou","2","fa91082c-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","2","2","M`penso","M`penso","Sikasso","1","fa91211e-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","3","3","Boussin","Boussin","Ségou","1","fa9141e5-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","1","1","M`penso","M`penso","Sikasso","1","fd61517e-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","2","2","Tona","Tona","Ségou","2","fd6168f5-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","3","3","Fangaso","Fangaso","Ségou","1","fd617cb1-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","4","4","Donkanaso","Donkanaso","Sikasso","1","fd619020-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","5","5","Katiana","Katiana","Ségou","2","fd61a398-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","1","1","KONODIMINI (marché primaire)","Konodimini","SEGOU","1","fadb9dbc-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","2","2","SEGOU","Cité COMATEX","SEGOU","1","fadbb3c5-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","3","3","BOUSSIN","BOUSSIN","SEGOU","1","fadbc93a-beed-11eb-8cbd-5cb901ddeae0"
"977203","1","1","1","SEGOU","Cité COMATEX","SEGOU","1","fa1af907-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","1","BOUSSIN","BOUSSIN","SEGOU","1","fda591c6-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","2","2","Touna (cercle de Bla) ","Touna","SEGOU","3","fda5a8b0-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","1","DOUGABOUGOU","DOUGABOUGOU","SEGOU","2","fdcfeab9-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","1","LOLONI","","","1","fec822dc-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","2","2","DOUMANABA","","","1","fec83b30-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","3","3","KOUORO BARRAGE","","","1","fec850c2-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","LOLONI","","","2","f875ea67-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","2","2","Kaï","","","2","f875fb40-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","1","WARASSO","","","2","fd011019-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","2","2","LOLONI","","","2","fd0121bd-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","1","BAMBOUGOU","","","2","fdc4dbe9-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1","FINKOLO ZANSO","","","2","fbb540c4-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","2","2","BAMBOUGOU","","","3","fbb559c9-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","3","3","TIOBOUGOU","","","3","fbb573f3-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","1","BAMBOUGOU","","","3","f8c29f4a-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","2","2","FINKOLO ZANSO","","","2","f8c2b4a3-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","1","FALADJE","","","3","fa9c2c63-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","2","2","KIMPARANA","","","2","fa9c42a8-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","3","3","ZANGASSO","","","2","fa9c5513-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","4","4","NIÈNA","","","1","fa9c66cb-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","1","NIÈNA","","","1","f86aa2b7-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","2","2","YAFOÏLA","","","1","f86abc26-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","1","SIKASSO","","","1","fdf5ae0d-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","2","2","NIÈNA","","","1","fdf5beec-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","1","TIOBOUGOU","","","3","f976ec84-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","2","2","KOUORO BARRAGE","","","2","f9770012-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","3","3","NIÈNA","","","1","f977126f-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","4","4","LOLONI","","","1","f9772508-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","1","FANGANSO","","","2","f8005370-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","2","2","KOUORO BARRAGE","","","2","f800639e-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","1","KOUORO BARRAGE","","","2","fb682eb1-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","2","2","FANGASO","","","2","fb68448e-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","3","3","FATOMA","","","2","fb685822-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","1","LOLONI","","","2","fae2589b-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","2","2","KOUORO BARRAGE","","","2","fae270fa-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","1","LOLONI","","","1","fc60bb4c-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","2","2","DALLE","","","3","fc60d2f6-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","1","DALLE","","","3","fd53475c-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","2","2","LOLONI","","","2","fd535e60-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","3","3","TIOBOUGOU","","","3","fd5375c4-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","4","4","KOIN (Région de Ségou)","","","3","fd538ddb-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","1","BAMBOUGOU","","","3","fb7acb7f-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","2","2","ZANSO","","","2","fb7ae3e9-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","3","3","ZITONASSO","BURKINA FASSO","BURKINA FASSO","3","fb7b0213-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","1","TIOBOUGOU","","","3","f90db61f-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","2","2","BAMBOUGOU","","","2","f90dc594-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","3","3","WARASSO","","","3","f90dd2dd-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","4","4","FINKOLO ZANSO","","","3","f90ddf4d-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","1","ZITONASSO","BURKINA FASSO","BURKINA FASSO","3","f8885e86-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","1","BAMBOUGOU","","","2","fd5004aa-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","2","2","TIOBOUGOU","","","3","fd501e72-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","1","KOUORO BARRAGE","","","1","f9ceebf1-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","2","2","KOUMANTOU","","","2","f9cf02a8-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","3","3","NIÈNA","","","1","f9cf189a-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","1","BOUSIN","","Ségou","2","f902513f-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","2","2","Bougouni","","","2","f90263f1-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","3","3","NIÈNA","","","1","f902738d-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","1","BARAGIE","","","3","fbf4dc85-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","2","2","Koyo","Koutiala","Koutiala","2","fbf4f486-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","1","Kouin","San","San","3","f7e49c31-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","2","2","KOUORO BARRAGE","","","2","f7e4cd60-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","1","Kouin","","","2","fcc95c2d-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","2","2","Tenin","","","3","fcc9746d-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","3","3","Faguansso","","","2","fcc98c37-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","1","Médine","","","1","fbc090c8-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","2","2","Bousin","","","2","fbc0a443-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","1","Zangasso","","","3","fa6c0b4c-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","2","2","Loloni","","","2","fa6c2038-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","1","Kouin","","","2","fa17a4cc-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","2","2","KOUORO BARRAGE","","","2","fa17baa5-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","1","SIKASSO","","","1","f9b00b80-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","1","LOLONI","","","1","f86e8597-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","2","2","DALLE","","","3","f86e9702-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","1","LOLONI","","","1","f80715b4-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","2","2","DALLE","","","3","f80727b0-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","1","LOLONI","","","1","ff01d523-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","2","2","DALLE","","","3","ff01efd4-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","1","DALLE","","","3","fd1a01d2-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","2","2","LOLONI","","","2","fd1a12fa-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","1","DALLE","","","3","fddace5d-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","2","2","LOLONI","","","2","fddae493-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","1","TIOBOUGOU","","","3","fc89b002-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","2","2","BABOUGOU","","","3","fc89c2eb-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","3","3","Sikasso","","","1","fc89d853-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","1","ZITONASSO","","BURKINA FASSO","3","fbd31139-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","2","2","SOUGALOBOUGOU","","BURKINA FASO","3","fbd32566-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","3","3","TIOBOUGOU","","","3","fbd33909-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","1","DALLE","","","3","f7dcd1e3-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","2","2","LOLONI","","","2","f7dce1fa-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","3","3","TIOBOUGOU","","","3","f7dcf314-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","1","ZITONASSO","","","3","fb3c138f-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","2","2","TIOBOUGOU","","","3","fb3c2bb3-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","1","TIOBOUGOU","","","3","fd91f96c-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","2","2","DALLE","","","3","fd920aa7-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","1","NIENA","","","1","fcbd0d02-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","2","2","SIKASSO","MEDINE","Sikasso","1","fcbd24b6-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","1","Sikasso","","","1","fe9ae2a9-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","2","2","NIÈNA","","","1","fe9af5b0-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","3","3","KOUORO BARRAGE","","","1","fe9b0d56-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","1","NIÈNA","","","1","fb34e2ac-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","2","2","Sikasso","Médine","","1","fb34fa34-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","3","3","BOUSIN","","Ségou","1","fb350f8c-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","1","NIÈNA","","","1","f964ccdb-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","2","2","Sikasso","Médine","","1","f964e18d-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","1","Dogonnasso","","","1","fdb4eb9c-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","2","2","Sikasso","Médine","","1","fdb500eb-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","1","LOLONI","","","1","fd5b9cf4-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","1","LOLONI","","","1","fe5df757-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","1","1","NIÈNA","","","1","f866462c-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","2","2","KOUMANTOU","","","1","f8666007-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","1","1","Danderesso","","","2","fa73e5fa-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","2","2","Finkolo ZANSO","","","2","fa73fe3b-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","1","1","Zitonasso","","Burkina Faso","3","fc7f060d-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","2","2","BAMOUGOU","","","2","fc7f1b7f-beed-11eb-8cbd-5cb901ddeae0"
