"Code","Description","Unique Row Identifier (UUID)"
"1","Primary","c0ab5e6f-bec5-11eb-81ba-3822e2cde809"
"2","Secondary","c0abaf58-bec5-11eb-81ba-3822e2cde809"
"3","Tertiary","c0ac0db4-bec5-11eb-81ba-3822e2cde809"
