"Code","Description","Unique Row Identifier (UUID)"
"1","18-30 years","723ade3a-bec6-11eb-81ba-3822e2cde809"
"2","31-60 years","723b266a-bec6-11eb-81ba-3822e2cde809"
"3","greater than 60 years","723b7034-bec6-11eb-81ba-3822e2cde809"
