"Code","Description","Unique Row Identifier (UUID)"
"1","Primary","5c14dfd2-bec6-11eb-81ba-3822e2cde809"
"2","Secondary","5c151ad1-bec6-11eb-81ba-3822e2cde809"
"3","Tertiary","5c155bec-bec6-11eb-81ba-3822e2cde809"
