"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","9. What criteria do you use to decide which small ruminants to buy? (see mrktc_lkpbuy_criteria)","Unique Row Identifier (UUID)"
"975407","1","1","2","fb231790-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","3","fb23276f-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","1","6","fb233864-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","1","1","fd703ad4-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","1","f9c17d7a-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","2","f9c15e89-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","6","f9c16f73-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","1","fd8663ed-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","2","fd864b95-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","6","fd867585-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","1","f7f43071-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","2","f7f440ad-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","1","f9204274-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","2","f9205274-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","3","f92064e4-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","2","fdff4df4-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","2","fb8cf2f9-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","1","f8ddbb49-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","1","fb387e7a-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","2","fb3890a3-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","1","fa8ad387-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","2","fa8ae4ad-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","7","fa8b09f7-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","8","fa8af7b8-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","1","fa2f2ee2-beed-11eb-8cbd-5cb901ddeae0"
