"Code","Description","Unique Row Identifier (UUID)"
"-66","Other (give details)","72387dd7-bec6-11eb-81ba-3822e2cde809"
"1","Selling my own sheep and/ or goats","7236823f-bec6-11eb-81ba-3822e2cde809"
"2","Middleman (broker)","72373132-bec6-11eb-81ba-3822e2cde809"
"3","Trader (buying and selling)","7237a10d-bec6-11eb-81ba-3822e2cde809"
"4","Buying sheep and/ or goats for myself","723813aa-bec6-11eb-81ba-3822e2cde809"
